Year,Quarter,Energy,Unnamed: 3,Unnamed: 4,Unnamed: 5,Industrial Processes and Product Use,Agriculture,Waste,Total (excluding LULUCF), LULUCF, Total (including LULUCF)
,,Electricity,Stationary energy excl. electricity,Transport,Fugitive Emissions,,,,,,
2001-02,2001-09-01,47.525067878471305,19.374659003431677,18.931616897624306,10.268150482382902,7.284104196849797,20.52607850041762,4.029905118040894,127.93958207721849,16.782987149128108,144.7225692263466
,2001-12-01,44.26378340588591,19.385204052057617,19.57385008813613,9.611348492094988,7.102168060461059,20.52607850041762,4.029905118040894,124.49233771709422,16.782987149128108,141.27532486622232
,2002-03-01,45.3871903436557,18.56851757254806,18.46091801305965,8.941505927481309,6.917635236320614,20.07985940258245,3.9422984850400042,122.29792498068781,16.41813960240793,138.71606458309574
,2002-06-01,46.814107858069264,19.185283807378323,18.657465250547435,9.872525034232567,7.2595915686163766,20.302968951500034,3.9861018015404492,126.07804427188444,16.60056337576802,142.67860764765246
2002-03,2002-09-01,48.58977200363976,19.864494989915816,19.56153681795866,10.005458139936016,7.773091396833014,19.13756684556319,3.7581208468882124,128.69004104073466,20.270895985621536,148.9609370263562
,2002-12-01,46.19155748287761,19.86969594849099,20.217633280091583,9.130362706574491,7.841186853783739,19.13756684556319,3.7581208468882124,126.14612396426982,20.270895985621536,146.41701994989137
,2003-03-01,45.39280124695643,19.100920116675574,19.05686401342449,8.593999258161016,7.826123726751022,18.72153278370312,3.676422567608033,122.36866371327969,19.8302243337602,142.19888804703987
,2003-06-01,46.38643065468639,19.539833531375724,19.268546787773616,9.528235907519143,7.727078297272406,18.929549814633155,3.717271707248123,125.09694670050855,20.050560159690868,145.14750686019943
2003-04,2003-09-01,48.98149275576146,20.348171355161067,20.32472291288351,10.085098252352694,8.256984169082111,19.964904213628763,3.6497108493711643,131.61108450824076,16.680782806972868,148.29186731521364
,2003-12-01,46.84305831222564,20.286197627113165,21.011783625635545,9.233080911124407,8.329178605864694,19.964904213628763,3.6497108493711643,129.31791414496337,16.680782806972868,145.99869695193624
,2004-03-01,49.99298252364518,19.389293913471942,19.80991484307171,8.65337096002697,8.11423174555972,19.74789438521976,3.610040079269304,129.3177284502646,16.49946995037533,145.81719840063994
,2004-06-01,49.11548492620821,19.910190737360384,20.029335761995288,9.733345809078001,7.922163251954523,19.74789438521976,3.610040079269304,130.06845495108547,16.49946995037533,146.5679249014608
