Year,Quarter,Electricity,Stationary Energy (excluding electricity),Transport,Fugitive Emissions,Industrial Processes and Product Use,Agriculture,Waste,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,47.5,19.3,18.9,9.8,7.3,22.5,4.3,129.7,15.7,145.4
,2001-12-01,44.3,19.4,19.6,9.2,7.1,22.5,4.3,126.4,15.7,142.1
,2002-03-01,45.4,18.6,18.5,8.6,7.0,22.0,4.3,124.2,17.8,142.0
,2002-06-01,46.8,19.2,18.7,9.5,7.3,22.3,4.3,128.0,18.0,146.0
2002-03,2002-09-01,48.6,19.7,19.4,9.4,7.8,21.4,4.1,130.5,18.2,148.6
,2002-12-01,46.2,19.8,20.0,8.6,7.9,21.4,4.1,128.0,18.2,146.2
,2003-03-01,45.4,18.9,18.9,8.1,7.8,20.9,4.0,124.1,11.5,135.6
,2003-06-01,46.4,19.3,19.1,9.0,7.7,21.2,4.1,126.8,11.6,138.4
2003-04,2003-09-01,48.9,20.2,20.1,9.4,8.3,21.6,4.0,132.5,11.7,144.2
,2003-12-01,46.8,20.0,20.8,8.6,8.4,21.6,4.0,130.2,11.7,141.9
,2004-03-01,49.9,19.1,19.6,8.1,8.1,21.4,4.0,130.2,13.1,143.2
,2004-06-01,49.0,19.7,19.8,9.1,8.0,21.4,4.0,131.0,13.1,144.0
2004-05,2004-09-01,50.9,20.5,20.7,9.6,8.0,22.3,4.0,136.2,13.2,149.4
,2004-12-01,48.2,20.6,20.9,9.1,8.0,22.3,4.0,133.0,13.2,146.3
,2005-03-01,48.8,19.6,19.6,8.4,7.9,21.8,3.9,130.1,18.8,148.9
,2005-06-01,48.9,20.3,20.4,9.5,8.1,22.1,3.9,133.3,19.0,152.3
2005-06,2005-09-01,50.9,20.4,20.2,9.8,8.3,21.7,4.0,135.1,19.2,154.3
,2005-12-01,48.9,20.3,21.6,9.2,8.1,21.7,4.0,133.7,19.2,152.9
,2006-03-01,50.6,19.3,20.3,8.6,7.9,21.2,3.9,131.7,19.4,151.1
,2006-06-01,50.9,20.5,20.3,9.8,8.1,21.5,3.9,135.0,19.6,154.6
2006-07,2006-09-01,52.2,20.5,21.0,10.4,8.6,21.0,4.0,137.8,19.8,157.6
,2006-12-01,50.9,20.9,21.8,9.8,8.7,21.0,4.0,137.1,19.8,156.9
,2007-03-01,51.7,19.8,20.9,9.3,8.5,20.5,3.9,134.6,13.0,147.5
,2007-06-01,49.5,20.5,21.2,10.6,8.6,20.7,4.0,135.2,13.1,148.3
2007-08,2007-09-01,53.5,21.1,21.7,11.2,8.7,20.0,4.1,140.3,13.2,153.5
,2007-12-01,50.3,21.1,22.2,9.4,8.6,20.0,4.1,135.7,13.2,148.9
,2008-03-01,51.7,20.2,21.3,9.4,8.5,19.8,4.1,134.9,11.1,146.0
,2008-06-01,50.5,21.3,21.7,10.1,8.7,19.8,4.1,136.0,11.1,147.2
2008-09,2008-09-01,55.4,22.0,21.9,10.0,9.2,20.0,4.1,142.7,11.3,154.0
,2008-12-01,52.3,21.5,22.4,10.0,8.6,20.0,4.1,138.9,11.3,150.2
,2009-03-01,52.5,19.3,20.9,8.9,7.2,19.6,4.0,132.3,10.9,143.1
,2009-06-01,51.5,20.4,21.4,10.5,7.4,19.8,4.0,135.0,11.0,145.9
2009-10,2009-09-01,51.4,20.6,22.2,10.2,8.6,19.8,4.1,136.9,11.1,148.0
,2009-12-01,51.3,21.0,22.7,9.4,8.9,19.8,4.1,137.2,11.1,148.3
,2010-03-01,52.5,20.5,21.2,9.4,9.0,19.4,4.0,136.1,7.7,143.9
,2010-06-01,49.9,21.2,21.9,10.2,9.0,19.6,4.1,135.9,7.8,143.7
2010-11,2010-09-01,51.0,22.4,22.4,10.7,9.1,20.8,4.0,140.3,7.9,148.2
,2010-12-01,47.1,22.0,23.3,10.0,9.2,20.8,4.0,136.3,7.9,144.1
,2011-03-01,50.7,20.6,22.1,8.2,8.9,20.3,3.9,134.7,0.9,135.7
,2011-06-01,49.7,22.1,22.8,9.5,8.9,20.5,3.9,137.4,0.9,138.4
2011-12,2011-09-01,50.9,23.1,23.0,9.9,9.0,21.1,3.5,140.6,1.0,141.5
,2011-12-01,49.2,22.6,23.5,9.7,8.1,21.1,3.5,137.6,1.0,138.6
,2012-03-01,50.3,21.2,22.8,8.9,8.0,20.8,3.5,135.6,2.4,138.0
,2012-06-01,48.7,21.8,23.1,10.2,7.9,20.8,3.5,135.9,2.4,138.3
2012-13,2012-09-01,47.1,24.1,23.2,10.3,8.4,21.5,3.3,137.9,2.4,140.3
,2012-12-01,46.0,23.7,24.0,9.9,8.1,21.5,3.3,136.5,2.4,138.9
,2013-03-01,47.6,22.0,22.4,9.1,8.0,21.0,3.2,133.4,1.9,135.3
,2013-06-01,46.6,22.9,23.1,10.0,8.0,21.3,3.2,135.1,1.9,137.0
2013-14,2013-09-01,44.8,23.9,23.2,10.3,8.2,20.6,3.3,134.3,1.9,136.2
,2013-12-01,43.8,23.8,23.7,10.5,8.0,20.6,3.3,133.6,1.9,135.5
,2014-03-01,47.0,22.4,22.5,10.2,7.9,20.2,3.2,133.4,3.5,136.9
,2014-06-01,44.2,23.3,22.8,10.1,7.9,20.4,3.2,132.1,3.5,135.6
2014-15,2014-09-01,46.9,24.3,23.3,11.2,8.1,19.8,3.3,136.8,1.9,138.7
,2014-12-01,,,,,,,,,,
,2015-03-01,,,,,,,,,,
,2015-06-01,,,,,,,,,,
