Year,Quarter,Electricity,Stationary Energy (excluding electricity),Transport,Fugitive Emissions,Industrial Processes and Product Use,Agriculture,Waste,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,47.5,19.1,18.9,9.9,7.3,19.5,4.0,126.2,19.5,145.7
,2001-12-01,44.3,19.4,19.6,9.5,7.1,19.5,4.0,123.3,19.5,142.8
,2002-03-01,45.4,18.8,18.5,9.0,7.0,19.1,3.9,121.6,19.1,140.7
,2002-06-01,46.8,19.3,18.7,9.8,7.3,19.3,3.9,125.1,19.3,144.4
2002-03,2002-09-01,48.6,19.7,19.4,9.5,7.8,18.1,3.7,126.9,17.0,143.9
,2002-12-01,46.2,20.0,20.0,9.1,7.9,18.1,3.7,125.1,17.0,142.1
,2003-03-01,45.4,19.2,18.9,8.7,7.8,17.8,3.6,121.4,16.6,138.0
,2003-06-01,46.4,19.5,19.1,9.4,7.7,18.0,3.7,123.8,16.8,140.6
2003-04,2003-09-01,48.9,20.2,20.1,9.6,8.3,18.9,3.6,129.7,16.3,146.0
,2003-12-01,46.8,20.3,20.8,9.2,8.4,18.9,3.6,128.0,16.3,144.4
,2004-03-01,49.9,19.5,19.6,8.9,8.1,18.7,3.6,128.4,16.1,144.5
,2004-06-01,49.0,19.9,19.8,9.6,8.0,18.7,3.6,128.6,16.1,144.8
2004-05,2004-09-01,50.9,20.7,20.7,10.0,8.0,19.1,3.6,133.0,21.1,154.1
,2004-12-01,48.2,20.8,21.0,9.5,8.0,19.1,3.6,130.1,21.1,151.2
,2005-03-01,48.8,20.0,19.6,9.1,7.9,18.7,3.5,127.6,20.6,148.2
,2005-06-01,48.9,20.5,20.4,9.9,8.1,18.9,3.5,130.4,20.9,151.2
2005-06,2005-09-01,50.9,20.6,20.3,10.3,8.3,18.8,3.5,132.6,21.8,154.3
,2005-12-01,48.9,20.5,21.5,9.8,8.1,18.8,3.5,131.2,21.8,152.9
,2006-03-01,50.6,19.6,20.3,9.4,7.9,18.4,3.4,129.5,21.3,150.8
,2006-06-01,50.9,20.5,20.2,10.2,8.1,18.6,3.5,132.0,21.5,153.5
2006-07,2006-09-01,52.2,20.5,21.0,10.8,8.6,17.8,3.6,134.4,18.4,152.8
,2006-12-01,50.8,21.0,21.8,10.2,8.7,17.8,3.6,133.9,18.4,152.3
,2007-03-01,51.6,19.9,20.9,9.8,8.5,17.4,3.5,131.7,18.0,149.8
,2007-06-01,49.5,20.5,21.2,10.9,8.6,17.6,3.6,131.8,18.2,150.1
2007-08,2007-09-01,53.5,21.1,21.7,11.4,8.7,17.1,3.7,137.3,13.8,151.1
,2007-12-01,50.3,21.2,22.2,9.8,8.6,17.1,3.7,133.0,13.8,146.8
,2008-03-01,51.7,20.5,21.3,10.0,8.5,16.9,3.7,132.6,13.7,146.2
,2008-06-01,50.5,21.5,21.7,10.6,8.7,16.9,3.7,133.5,13.7,147.2
2008-09,2008-09-01,55.4,22.4,22.1,10.8,9.2,17.2,3.7,140.9,13.1,154.0
,2008-12-01,52.3,21.8,22.6,10.7,8.6,17.2,3.7,136.9,13.1,150.0
,2009-03-01,52.5,19.6,21.1,9.5,7.2,16.8,3.6,130.4,12.8,143.2
,2009-06-01,51.5,20.4,21.5,10.8,7.4,17.0,3.7,132.3,13.0,145.2
2009-10,2009-09-01,51.4,21.0,22.4,11.2,8.6,16.7,3.8,135.1,6.7,141.8
,2009-12-01,51.3,21.3,22.9,10.3,8.9,16.7,3.8,135.2,6.7,141.9
,2010-03-01,52.5,20.6,21.4,9.8,9.0,16.3,3.7,133.4,6.6,140.0
,2010-06-01,49.9,21.4,22.1,10.7,9.0,16.5,3.7,133.4,6.6,140.0
2010-11,2010-09-01,51.0,22.1,22.7,11.6,9.1,17.9,3.6,137.9,4.5,142.4
,2010-12-01,47.1,21.7,23.7,10.8,9.1,17.9,3.6,133.8,4.5,138.3
,2011-03-01,50.7,20.3,22.0,9.0,8.9,17.5,3.6,131.9,4.4,136.3
,2011-06-01,49.7,21.8,22.8,10.2,8.8,17.7,3.6,134.6,4.4,139.0
2011-12,2011-09-01,50.9,23.4,23.1,10.7,9.3,18.2,3.2,138.8,1.6,140.4
,2011-12-01,49.2,22.8,23.5,10.4,8.3,18.2,3.2,135.6,1.6,137.2
,2012-03-01,50.3,21.4,22.5,9.6,8.2,18.0,3.2,133.2,1.6,134.8
,2012-06-01,48.7,21.9,22.9,11.0,8.0,18.0,3.2,133.7,1.6,135.3
2012-13,2012-09-01,47.0,24.2,23.1,10.9,8.3,18.3,3.0,134.8,-0.5,134.3
,2012-12-01,45.9,23.8,23.8,10.5,8.2,18.3,3.0,133.5,-0.5,133.1
,2013-03-01,47.6,22.2,22.4,9.7,8.0,17.9,2.9,130.6,-0.5,130.2
,2013-06-01,46.6,23.1,23.0,10.6,8.0,18.1,3.0,132.3,-0.5,131.8
2013-14,2013-09-01,45.0,24.0,23.4,10.3,8.3,18.3,3.0,132.3,1.2,133.6
,2013-12-01,44.0,23.9,23.9,10.2,8.2,18.3,3.0,131.5,1.2,132.7
,2014-03-01,47.2,22.6,22.6,10.0,7.9,17.9,3.0,131.2,1.2,132.4
,2014-06-01,44.5,23.7,23.2,10.1,8.0,18.1,3.0,130.7,1.2,131.9
2014-15,2014-09-01,47.5,23.5,24.0,12.2,8.2,17.6,2.9,135.8,1.2,137.0
,2014-12-01,46.4,23.0,24.5,10.8,8.2,17.6,2.9,133.3,1.2,134.5
,2015-03-01,47.9,21.8,23.3,10.2,7.9,17.2,2.8,131.2,1.1,132.4
,2015-06-01,47.2,22.6,23.5,11.4,8.0,17.4,2.9,133.0,1.1,134.1
