Year,Quarter,Electricity,Stationary Energy (excluding electricity),Transport,Fugitive Emissions,Industrial Processes and Product Use,Agriculture,Waste,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,47.5,19.3,18.9,9.8,7.3,22.7,4.3,129.8,15.8,145.6
,2001-12-01,44.3,19.4,19.6,9.2,7.1,22.7,4.3,126.5,15.8,142.3
,2002-03-01,45.4,18.6,18.5,8.6,7.0,22.2,4.2,124.4,18.4,142.8
,2002-06-01,46.8,19.2,18.7,9.5,7.3,22.4,4.3,128.2,18.6,146.8
2002-03,2002-09-01,48.6,19.8,19.4,9.4,7.8,21.1,4.1,130.1,18.8,148.9
,2002-12-01,46.2,19.8,20.0,8.6,7.9,21.1,4.1,127.6,18.8,146.5
,2003-03-01,45.4,18.9,18.9,8.1,7.8,20.7,4.0,123.8,12.2,136.0
,2003-06-01,46.4,19.3,19.1,9.0,7.7,20.9,4.0,126.4,12.4,138.8
2003-04,2003-09-01,48.9,20.2,20.1,9.4,8.3,21.8,4.0,132.6,12.5,145.1
,2003-12-01,46.8,20.0,20.8,8.6,8.4,21.8,4.0,130.3,12.5,142.8
,2004-03-01,49.9,19.1,19.6,8.1,8.1,21.5,3.9,130.3,13.4,143.7
,2004-06-01,49.0,19.7,19.8,9.1,8.0,21.5,3.9,131.1,13.4,144.5
2004-05,2004-09-01,50.9,20.5,20.7,9.6,8.0,22.2,3.9,135.9,13.6,149.6
,2004-12-01,48.2,20.6,21.0,9.1,8.0,22.2,3.9,132.9,13.6,146.5
,2005-03-01,48.8,19.6,19.6,8.4,7.9,21.7,3.8,129.9,19.8,149.6
,2005-06-01,48.9,20.3,20.4,9.5,8.1,21.9,3.9,133.1,20.0,153.1
2005-06,2005-09-01,50.9,20.4,20.3,9.8,8.3,21.8,3.9,135.3,20.2,155.5
,2005-12-01,48.9,20.3,21.5,9.2,8.1,21.8,3.9,133.6,20.2,153.8
,2006-03-01,50.6,19.2,20.3,8.6,7.9,21.3,3.8,131.7,19.7,151.4
,2006-06-01,50.9,20.5,20.3,9.8,8.1,21.6,3.8,135.0,19.9,154.9
2006-07,2006-09-01,52.2,20.5,21.0,10.4,8.6,20.9,4.0,137.6,20.1,157.8
,2006-12-01,50.9,20.9,21.8,9.8,8.7,20.9,4.0,136.9,20.1,157.0
,2007-03-01,51.7,19.7,20.9,9.3,8.5,20.4,3.9,134.4,13.3,147.7
,2007-06-01,49.5,20.5,21.2,10.6,8.6,20.6,3.9,135.0,13.4,148.4
2007-08,2007-09-01,53.5,21.1,21.7,11.2,8.7,20.1,4.1,140.3,13.5,153.8
,2007-12-01,50.3,21.1,22.2,9.4,8.6,20.1,4.1,135.7,13.5,149.2
,2008-03-01,51.7,20.2,21.2,9.4,8.5,19.9,4.0,134.8,11.5,146.4
,2008-06-01,50.5,21.3,21.7,10.1,8.7,19.9,4.0,136.0,11.5,147.5
2008-09,2008-09-01,55.4,22.0,21.9,10.0,9.2,20.3,4.1,142.9,11.7,154.6
,2008-12-01,52.3,21.6,22.4,10.0,8.6,20.3,4.1,139.2,11.7,150.9
,2009-03-01,52.5,19.3,21.0,8.9,7.2,19.8,4.0,132.5,11.1,143.6
,2009-06-01,51.5,20.4,21.3,10.5,7.4,20.1,4.0,135.1,11.2,146.3
2009-10,2009-09-01,51.4,20.6,22.2,10.2,8.6,19.9,4.1,137.0,11.3,148.4
,2009-12-01,51.3,21.0,22.7,9.4,8.9,19.9,4.1,137.2,11.3,148.5
,2010-03-01,52.5,20.5,21.2,9.4,9.0,19.5,4.0,136.2,8.5,144.7
,2010-06-01,49.9,21.2,21.9,10.2,9.0,19.7,4.1,136.0,8.6,144.6
2010-11,2010-09-01,51.0,22.4,22.4,10.7,9.1,20.8,4.0,140.4,8.7,149.1
,2010-12-01,47.1,22.0,23.3,10.0,9.2,20.8,4.0,136.4,8.7,145.1
,2011-03-01,50.7,20.6,22.2,8.2,8.9,20.4,3.9,134.8,0.9,135.7
,2011-06-01,49.7,22.1,22.8,9.5,8.9,20.6,3.9,137.5,0.9,138.4
2011-12,2011-09-01,50.9,23.1,23.0,9.9,9.0,21.0,3.5,140.6,0.9,141.5
,2011-12-01,49.2,22.6,23.5,9.7,8.1,21.0,3.5,137.6,0.9,138.5
,2012-03-01,50.3,21.2,22.8,8.9,8.0,20.8,3.5,135.6,3.2,138.8
,2012-06-01,48.7,21.7,23.1,10.2,7.9,20.8,3.5,135.9,3.2,139.2
2012-13,2012-09-01,47.1,24.1,23.2,10.2,8.4,21.4,3.4,137.8,3.3,141.1
,2012-12-01,46.0,23.7,24.0,9.9,8.1,21.4,3.4,136.5,3.3,139.8
,2013-03-01,47.6,22.0,22.4,9.1,8.0,21.0,3.3,133.4,1.9,135.3
,2013-06-01,46.6,22.9,23.1,9.9,8.0,21.2,3.3,135.1,1.9,137.0
2013-14,2013-09-01,44.4,23.9,23.2,10.2,7.7,20.9,3.4,133.8,1.9,135.6
,2013-12-01,43.3,23.8,23.7,10.5,7.7,20.9,3.4,133.3,1.9,135.2
,2014-03-01,46.5,22.4,22.5,10.2,7.4,20.5,3.3,132.8,2.5,135.4
,2014-06-01,44.0,23.5,22.9,10.0,7.6,20.7,3.3,132.0,2.6,134.6
2014-15,2014-09-01,46.5,24.3,23.2,10.9,7.8,20.1,3.4,136.1,2.6,138.7
,2014-12-01,45.0,23.8,23.9,10.0,7.7,20.1,3.4,134.0,2.6,136.6
,2015-03-01,46.5,22.6,22.6,9.6,7.5,19.7,3.3,131.9,3.4,135.2
,2015-06-01,,,,,,,,,,
