Year,Quarter,Electricity,Stationary Energy (excluding electricity),Transport,Fugitive Emissions,Industrial Processes and Product Use,Agriculture,Waste,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,47.5,19.1,18.9,9.9,7.3,19.5,4.0,126.2,19.5,145.7
,2001-12-01,44.3,19.4,19.6,9.5,7.1,19.5,4.0,123.2,19.5,142.8
,2002-03-01,45.4,18.8,18.5,9.0,7.0,19.1,3.9,121.6,19.1,140.7
,2002-06-01,46.8,19.3,18.7,9.8,7.3,19.3,3.9,125.1,19.3,144.4
2002-03,2002-09-01,48.6,19.7,19.4,9.5,7.8,18.3,3.7,127.0,17.0,143.9
,2002-12-01,46.2,20.0,20.0,9.1,7.9,18.3,3.7,125.2,17.0,142.2
,2003-03-01,45.4,19.2,18.9,8.7,7.8,17.9,3.6,121.5,16.6,138.1
,2003-06-01,46.4,19.5,19.1,9.4,7.7,18.1,3.6,123.8,16.8,140.7
2003-04,2003-09-01,48.9,20.2,20.1,9.6,8.3,18.9,3.6,129.7,16.3,146.0
,2003-12-01,46.8,20.3,20.8,9.2,8.4,18.9,3.6,128.0,16.3,144.3
,2004-03-01,49.9,19.5,19.6,8.9,8.1,18.7,3.5,128.4,16.1,144.5
,2004-06-01,49.0,19.9,19.8,9.6,8.0,18.7,3.5,128.6,16.1,144.7
2004-05,2004-09-01,50.9,20.7,20.7,10.0,8.0,19.2,3.6,133.0,21.1,154.1
,2004-12-01,48.2,20.8,21.0,9.5,8.0,19.2,3.6,130.2,21.1,151.3
,2005-03-01,48.8,20.0,19.6,9.1,7.9,18.8,3.5,127.6,20.6,148.3
,2005-06-01,48.9,20.5,20.4,9.9,8.1,19.0,3.5,130.4,20.9,151.3
2005-06,2005-09-01,50.9,20.6,20.3,10.3,8.3,18.8,3.5,132.5,21.8,154.3
,2005-12-01,48.9,20.5,21.5,9.8,8.1,18.8,3.5,131.2,21.8,152.9
,2006-03-01,50.6,19.6,20.3,9.4,7.9,18.4,3.4,129.5,21.3,150.8
,2006-06-01,50.9,20.5,20.2,10.2,8.1,18.6,3.5,132.0,21.5,153.5
2006-07,2006-09-01,52.2,20.5,21.0,10.8,8.6,18.0,3.6,134.6,18.4,153.0
,2006-12-01,50.8,21.0,21.8,10.2,8.7,18.0,3.6,134.1,18.4,152.5
,2007-03-01,51.6,19.9,20.9,9.8,8.5,17.6,3.5,131.9,18.0,149.9
,2007-06-01,49.5,20.5,21.2,10.9,8.6,17.8,3.5,132.0,18.2,150.2
2007-08,2007-09-01,53.5,21.1,21.7,11.4,8.7,17.1,3.7,137.2,13.8,151.1
,2007-12-01,50.3,21.2,22.2,9.8,8.6,17.1,3.7,133.0,13.8,146.8
,2008-03-01,51.7,20.5,21.3,10.0,8.5,16.9,3.6,132.5,13.7,146.2
,2008-06-01,50.5,21.5,21.7,10.6,8.7,16.9,3.6,133.5,13.7,147.1
2008-09,2008-09-01,55.4,22.4,22.1,10.8,9.2,17.3,3.7,140.9,13.1,154.0
,2008-12-01,52.3,21.8,22.6,10.7,8.6,17.3,3.7,136.9,13.1,150.0
,2009-03-01,52.5,19.6,21.1,9.5,7.2,16.9,3.6,130.4,12.8,143.2
,2009-06-01,51.5,20.4,21.5,10.8,7.4,17.1,3.6,132.3,13.0,145.2
2009-10,2009-09-01,51.4,21.0,22.4,11.2,8.5,16.7,3.8,135.1,6.7,141.8
,2009-12-01,51.3,21.4,22.9,10.3,8.9,16.7,3.8,135.2,6.7,141.9
,2010-03-01,52.5,20.6,21.4,9.8,9.0,16.4,3.7,133.4,6.6,140.0
,2010-06-01,49.9,21.4,22.1,10.7,9.0,16.6,3.7,133.4,6.6,140.0
2010-11,2010-09-01,51.0,22.1,22.5,11.6,9.1,18.0,3.6,137.9,4.5,142.3
,2010-12-01,47.1,21.7,23.5,10.8,9.1,18.0,3.6,133.7,4.5,138.1
,2011-03-01,50.7,20.3,22.3,9.0,8.9,17.6,3.5,132.2,4.4,136.6
,2011-06-01,49.7,21.7,22.9,10.2,8.8,17.8,3.6,134.8,4.4,139.2
2011-12,2011-09-01,50.9,23.4,22.9,10.7,9.3,18.2,3.2,138.6,1.6,140.2
,2011-12-01,49.2,22.8,23.4,10.4,8.3,18.2,3.2,135.4,1.6,137.0
,2012-03-01,50.3,21.4,22.7,9.6,8.2,18.0,3.1,133.4,1.6,135.0
,2012-06-01,48.7,21.9,23.0,11.0,8.0,18.0,3.1,133.8,1.6,135.4
2012-13,2012-09-01,47.0,24.2,23.0,10.9,8.3,18.3,3.0,134.8,-0.5,134.3
,2012-12-01,45.9,23.8,23.8,10.5,8.2,18.3,3.0,133.6,-0.5,133.1
,2013-03-01,47.6,22.2,22.3,9.7,8.0,17.9,2.9,130.6,-0.5,130.1
,2013-06-01,46.6,23.1,23.0,10.6,8.0,18.1,3.0,132.4,-0.5,131.9
2013-14,2013-09-01,45.0,24.0,23.4,10.3,8.3,18.4,3.0,132.4,1.2,133.6
,2013-12-01,44.0,23.9,23.9,10.2,8.2,18.4,3.0,131.5,1.2,132.8
,2014-03-01,47.2,22.6,22.7,10.0,7.9,18.0,3.0,131.3,1.2,132.5
,2014-06-01,44.5,23.7,23.1,10.1,8.0,18.2,3.0,130.6,1.2,131.8
2014-15,2014-09-01,47.5,23.5,23.9,12.2,8.2,17.6,2.9,135.7,1.2,136.9
,2014-12-01,46.4,23.0,24.6,10.8,8.2,17.6,2.9,133.5,1.2,134.6
,2015-03-01,47.9,21.8,23.2,10.2,7.9,17.3,2.8,131.1,1.1,132.3
,2015-06-01,47.1,22.6,23.5,11.4,8.0,17.5,2.8,132.9,1.1,134.1
2015-16,2015-09-01,48.4,23.8,24.1,12.2,8.5,18.6,2.9,138.5,-0.8,137.8
,2015-12-01,47.3,23.8,24.5,11.7,8.4,18.6,2.9,137.1,-0.8,136.4
,2016-03-01,48.9,22.8,23.5,11.8,8.1,18.4,2.8,136.3,-0.7,135.6
,2016-06-01,46.6,23.8,23.3,11.9,8.2,18.4,2.8,135.1,-0.7,134.4
2016-17,2016-09-01,48.1,25.1,23.6,12.5,8.7,19.0,2.9,139.8,0.2,140.0
,2016-12-01,44.5,25.5,24.5,11.9,8.6,19.0,2.9,136.9,0.2,137.1
,2017-03-01,48.8,24.2,24.6,11.3,8.3,18.6,2.8,138.5,0.2,138.7
,2017-06-01,,,,,,,,,,
