Year,Quarter,Electricity,Stationary Energy (excluding electricity),Transport,Fugitive Emissions,Industrial Processes and Product Use,Agriculture,Waste,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,47.5,19.4,18.9,10.2,7.3,19.5,4,126.8,18,144.8
,2001-12-01,44.3,19.4,19.6,9.6,7.1,19.5,4,123.3,18,141.3
,2002-03-01,45.4,18.6,18.5,8.9,6.9,19,3.9,121.2,17.6,138.8
,2002-06-01,46.8,19.2,18.7,9.8,7.3,19.2,4,124.9,17.8,142.7
2002-03,2002-09-01,48.6,19.9,19.6,9.9,7.8,18.2,3.8,127.7,18.4,146.2
,2002-12-01,46.2,19.9,20.2,9.1,7.8,18.2,3.8,125.2,18.4,143.6
,2003-03-01,45.4,19.1,19.1,8.5,7.8,17.8,3.7,121.5,18,139.5
,2003-06-01,46.4,19.5,19.3,9.5,7.7,18,3.7,124.2,18.2,142.4
2003-04,2003-09-01,49,20.3,20.3,10,8.3,18.9,3.6,130.5,15.3,145.8
,2003-12-01,46.8,20.3,21,9.2,8.3,18.9,3.6,128.2,15.3,143.5
,2004-03-01,50,19.4,19.8,8.6,8.1,18.7,3.6,128.3,15.1,143.4
,2004-06-01,49.1,19.9,20,9.7,7.9,18.7,3.6,129,15.1,144.1
2004-05,2004-09-01,50.9,20.8,20.8,10.2,8,19.2,3.6,133.6,20.7,154.3
,2004-12-01,48.2,20.9,21.1,9.6,8,19.2,3.6,130.5,20.7,151.3
,2005-03-01,48.8,19.9,19.7,8.9,7.9,18.8,3.5,127.5,20.3,147.8
,2005-06-01,48.9,20.4,20.6,10,8,19,3.6,130.5,20.5,151
2005-06,2005-09-01,50.9,20.7,20.6,10.5,8.2,18.7,3.6,133.1,22.2,155.3
,2005-12-01,48.9,20.5,21.9,9.8,8,18.7,3.6,131.4,22.2,153.5
,2006-03-01,50.6,19.4,20.5,9.2,7.8,18.3,3.5,129.3,21.7,151
,2006-06-01,50.9,20.6,20.5,10.5,8,18.5,3.5,132.6,21.9,154.5
2006-07,2006-09-01,52.2,20.5,21.2,10.9,8.5,18,3.7,135,20.7,155.7
,2006-12-01,50.8,21,22,10.3,8.6,18,3.7,134.4,20.7,155.1
,2007-03-01,51.6,19.8,21.2,9.7,8.4,17.6,3.6,131.8,20.2,152.1
,2007-06-01,49.5,20.6,21.4,11,8.6,17.8,3.6,132.5,20.5,153
2007-08,2007-09-01,53.5,21.4,21.7,11.8,8.7,17.1,3.8,137.9,12.6,150.6
,2007-12-01,50.3,21.3,22.3,9.9,8.6,17.1,3.8,133.2,12.6,145.8
,2008-03-01,51.7,20.4,21.3,9.9,8.5,16.9,3.7,132.3,12.5,144.8
,2008-06-01,50.5,21.4,21.7,10.6,8.6,16.9,3.7,133.5,12.5,146
2008-09,2008-09-01,55.4,22.1,22.1,10.7,9.3,17.2,3.8,140.7,9.1,149.8
,2008-12-01,52.3,21.6,22.6,10.7,8.7,17.2,3.8,136.8,9.1,146
,2009-03-01,52.5,19.4,21.2,9.5,7.3,16.9,3.7,130.4,8.9,139.3
,2009-06-01,51.5,20.5,21.5,11.2,7.5,17.1,3.7,133,9,142
2009-10,2009-09-01,51.4,20.8,22.4,11.3,8.6,16.7,3.8,135.1,5.7,140.8
,2009-12-01,51.3,21.2,22.9,10.3,9,16.7,3.8,135.3,5.7,141
,2010-03-01,52.5,20.6,21.4,9.9,9.1,16.4,3.8,133.6,5.6,139.2
