Year,Quarter,Electricity,Stationary Energy (excluding electricity),Transport,Fugitive Emissions,Industrial Processes and Product Use,Agriculture,Waste,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
,2010-06-01,49.9,21.3,22.1,10.8,9,16.6,3.8,133.4,5.7,139.1
2010-11,2010-09-01,51,21.9,22.8,11.6,9.1,17.9,3.7,138,2.5,140.5
,2010-12-01,47.1,21.6,23.7,10.8,9.2,17.9,3.7,133.9,2.5,136.4
,2011-03-01,50.7,20.2,22.1,9,9,17.5,3.6,132,2.4,134.4
,2011-06-01,49.7,21.6,22.8,10.2,8.9,17.7,3.6,134.7,2.5,137.1
2011-12,2011-09-01,50.9,23.1,22.5,10.8,9.2,18.1,3.3,137.9,-4.8,133.1
,2011-12-01,49.2,22.7,22.9,10.5,8.2,18.1,3.3,134.8,-4.8,130
,2012-03-01,50.3,21.5,23.1,9.6,8.1,17.9,3.2,133.7,-4.7,129
,2012-06-01,48.7,22.1,23.4,11.1,7.9,17.9,3.2,134.3,-4.7,129.6
2012-13,2012-09-01,47,24.1,23.2,11,8,18.2,3.1,134.7,-4.8,129.8
,2012-12-01,45.9,23.9,23.9,10.6,8,18.2,3.1,133.6,-4.8,128.8
,2013-03-01,47.6,22.2,22.2,9.8,7.7,17.8,3,130.4,-4.7,125.6
,2013-06-01,46.6,23.2,22.8,10.6,7.8,18,3.1,132.1,-4.8,127.3
2013-14,2013-09-01,45,23.9,23.4,10.3,7.9,18.3,3.1,132.2,-1.6,130.6
,2013-12-01,44,23.9,23.9,10.2,7.9,18.3,3.1,131.4,-1.6,129.8
,2014-03-01,47.2,22.5,22.7,10.1,7.6,17.9,3.1,131.2,-1.6,129.6
,2014-06-01,44.5,23.6,23.2,10.2,7.7,18.1,3.1,130.5,-1.6,129
2014-15,2014-09-01,47.5,23.4,24,12.4,8.3,17.7,3,136.3,-5.1,131.2
,2014-12-01,46.4,22.9,24.5,11.1,8.3,17.7,3,133.8,-5.1,128.6
,2015-03-01,47.9,21.8,23.3,10.4,8,17.3,2.9,131.7,-5,126.7
,2015-06-01,47.2,22.6,23.5,11.6,8.2,17.5,3,133.5,-5.1,128.5
2015-16,2015-09-01,49.3,23.4,24.1,12.5,8.4,17.5,3.1,138.3,-6.1,132.3
,2015-12-01,48,23.3,24.5,11.9,8.4,17.5,3.1,136.8,-6.1,130.7
,2016-03-01,49.9,22.3,24,12.1,8.1,17.3,3.1,136.8,-6,130.8
,2016-06-01,47.5,23.3,23.8,12.2,8.2,17.3,3.1,135.3,-6,129.3
2016-17,2016-09-01,48.6,24.2,24.5,12.9,8.6,18.4,3,140.2,-5.4,134.8
,2016-12-01,45.3,24.2,25.8,12.6,8.5,18.4,3,137.7,-5.4,132.3
,2017-03-01,49.4,22.6,23.9,12.4,8.2,18,2.9,137.4,-5.3,132.1
,2017-06-01,45.9,24.3,24.5,13.9,8.4,18.2,2.9,138.1,-5.4,132.8
2017-18,2017-09-01,45.7,24.9,25.1,14.5,8.5,17.8,3,139.7,-5.5,134.2
,2017-12-01,44.4,25,25.5,14.3,8.6,17.8,3,138.7,-5.5,133.2
,2018-03-01,46.2,24.3,24.8,13.3,8.6,17.4,3,137.7,-5.4,132.3
,2018-06-01,45.1,25.8,25.6,14.6,8.7,17.6,3,140.4,-5.4,135
2018-19,2018-09-01,44.7,26.6,25.4,15.1,8.8,17.3,3,140.9,-5.4,135.5
,,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-
