Quarter,Total (excluding LULUCF)
2003-06-01,125.9
2003-09-01,131.3
2003-12-01,129.0
2004-03-01,128.9
2004-06-01,129.7
2004-09-01,133.8
2004-12-01,130.9
2005-03-01,127.9
2005-06-01,131.1
2005-09-01,133.9
2005-12-01,132.3
2006-03-01,130.3
2006-06-01,133.5
2006-09-01,136.1
2006-12-01,135.5
2007-03-01,132.8
2007-06-01,133.5
2007-09-01,139.9
2007-12-01,135.6
2008-03-01,134.4
2008-06-01,135.7
2008-09-01,140.6
2008-12-01,137.1
2009-03-01,130.5
2009-06-01,133.1
2009-09-01,135.4
2009-12-01,135.6
2010-03-01,134.6
2010-06-01,134.5
2010-09-01,138.5
2010-12-01,134.4
2011-03-01,132.9
2011-06-01,135.5
2011-09-01,139.7
2011-12-01,136.6
2012-03-01,134.5
2012-06-01,135.5
2012-09-01,138.4
2012-12-01,137.2
2013-03-01,134.4
2013-06-01,135.9
