Year,Quarter,Electricity,Stationary Energy (excluding electricity),Transport,Fugitive Emissions,Industrial Processes and Product Use,Agriculture,Waste,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,47.5,19.4,18.9,10.2,7.3,19.5,4,126.8,16.6,143.4
,2001-12-01,44.3,19.4,19.6,9.6,7.1,19.5,4,123.4,16.6,139.9
,2002-03-01,45.4,18.6,18.5,8.9,6.9,19,3.9,121.2,16.2,137.4
,2002-06-01,46.8,19.2,18.7,9.8,7.3,19.2,4,125,16.4,141.3
2002-03,2002-09-01,48.6,19.9,19.6,9.9,7.8,18.1,3.8,127.6,18.7,146.4
,2002-12-01,46.2,19.9,20.2,9.1,7.8,18.1,3.8,125.1,18.7,143.8
,2003-03-01,45.4,19.1,19.1,8.5,7.8,17.7,3.7,121.3,18.3,139.7
,2003-06-01,46.4,19.5,19.3,9.5,7.7,17.9,3.7,124.1,18.5,142.6
2003-04,2003-09-01,49,20.3,20.3,10,8.3,18.9,3.6,130.5,16.6,147.1
,2003-12-01,46.8,20.3,21,9.2,8.3,18.9,3.6,128.2,16.6,144.8
,2004-03-01,50,19.4,19.8,8.6,8.1,18.7,3.6,128.2,16.4,144.7
,2004-06-01,49.1,19.9,20,9.7,7.9,18.7,3.6,129,16.4,145.4
2004-05,2004-09-01,50.9,20.8,20.8,10.2,8,19.1,3.6,133.5,22.4,155.9
,2004-12-01,48.2,20.9,21.1,9.6,8,19.1,3.6,130.5,22.4,152.9
,2005-03-01,48.8,19.8,19.7,8.9,7.9,18.7,3.5,127.4,21.9,149.3
,2005-06-01,48.9,20.4,20.6,10,8,18.9,3.6,130.4,22.1,152.6
2005-06,2005-09-01,50.9,20.7,20.6,10.5,8.2,18.7,3.6,133.1,21.4,154.6
,2005-12-01,48.9,20.5,21.9,9.8,8,18.7,3.6,131.4,21.4,152.8
,2006-03-01,50.6,19.4,20.5,9.2,7.8,18.3,3.5,129.3,21,150.3
,2006-06-01,50.9,20.6,20.5,10.5,8,18.5,3.5,132.6,21.2,153.8
2006-07,2006-09-01,52.2,20.5,21.2,10.9,8.5,17.8,3.7,134.9,23.7,158.5
,2006-12-01,50.8,21,22,10.3,8.6,17.8,3.7,134.2,23.7,157.9
,2007-03-01,51.6,19.8,21.2,9.7,8.4,17.4,3.6,131.7,23.2,154.8
,2007-06-01,49.5,20.6,21.4,11,8.6,17.6,3.6,132.4,23.4,155.8
2007-08,2007-09-01,53.5,21.4,21.7,11.8,8.7,17.1,3.8,138,19.8,157.7
,2007-12-01,50.3,21.3,22.3,9.9,8.6,17.1,3.8,133.2,19.8,153
,2008-03-01,51.7,20.3,21.3,9.9,8.5,16.9,3.7,132.3,19.6,151.9
,2008-06-01,50.5,21.4,21.7,10.6,8.6,16.9,3.7,133.5,19.6,153.1
2008-09,2008-09-01,55.4,22.1,22.1,10.7,9.3,17.3,3.8,140.7,17.6,158.3
,2008-12-01,52.3,21.6,22.6,10.7,8.7,17.3,3.8,136.9,17.6,154.5
,2009-03-01,52.5,19.4,21.2,9.5,7.3,16.9,3.7,130.3,17.2,147.5
,2009-06-01,51.5,20.5,21.5,11.2,7.5,17.1,3.7,133,17.4,150.4
2009-10,2009-09-01,51.4,20.8,22.4,11.3,8.6,16.7,3.8,135.1,12.3,147.3
,2009-12-01,51.3,21.3,22.9,10.3,9,16.7,3.8,135.3,12.3,147.5
,2010-03-01,52.5,20.5,21.4,9.9,9.1,16.3,3.8,133.5,12,145.5
,2010-06-01,49.9,21.3,22.1,10.8,9,16.5,3.8,133.4,12.1,145.6
2010-11,2010-09-01,51,21.9,22.8,11.6,9.1,17.8,3.7,137.9,7.4,145.3
,2010-12-01,47.1,21.6,23.7,10.8,9.2,17.8,3.7,133.9,7.4,141.3
,2011-03-01,50.7,20.1,22.1,9,9,17.4,3.6,131.9,7.2,139.1
,2011-06-01,49.7,21.6,22.8,10.2,8.9,17.6,3.6,134.6,7.3,141.9
2011-12,2011-09-01,50.9,23.2,22.5,10.8,9.2,18.1,3.3,137.9,4.6,142.4
,2011-12-01,49.2,22.7,22.9,10.5,8.2,18.1,3.3,134.8,4.6,139.3
,2012-03-01,50.3,21.4,23.1,9.6,8.1,17.9,3.2,133.7,4.5,138.2
,2012-06-01,48.7,22.1,23.4,11.1,7.9,17.9,3.2,134.4,4.5,138.9
2012-13,2012-09-01,47,24.1,23.2,11,8,18.2,3.1,134.6,1.8,136.5
,2012-12-01,45.9,23.9,23.9,10.6,8,18.2,3.1,133.6,1.8,135.4
,2013-03-01,47.6,22.2,22.2,9.8,7.7,17.8,3,130.3,1.8,132.1
,2013-06-01,46.6,23.2,22.8,10.6,7.8,18,3.1,132.1,1.8,133.9
2013-14,2013-09-01,45,23.9,23.4,10.3,7.9,18.3,3.1,132.1,2,134.2
,2013-12-01,44,23.9,23.9,10.2,7.9,18.3,3.1,131.4,2,133.4
,2014-03-01,47.2,22.5,22.7,10.1,7.6,17.9,3.1,131.1,2,133.1
,2014-06-01,44.5,23.7,23.2,10.2,7.7,18.1,3.1,130.5,2,132.5
2014-15,2014-09-01,47.5,23.4,24,12.4,8.3,17.7,3,136.3,-0.9,135.4
,2014-12-01,46.4,22.9,24.5,11.1,8.3,17.7,3,133.8,-0.9,132.9
,2015-03-01,47.9,21.8,23.3,10.4,8,17.3,2.9,131.7,-0.9,130.8
,2015-06-01,47.2,22.6,23.5,11.6,8.2,17.5,3,133.5,-0.9,132.7
2015-16,2015-09-01,49.3,23.4,24.1,12.5,8.4,17.4,3.1,138.2,-4.1,134.1
,2015-12-01,48,23.3,24.5,11.9,8.4,17.4,3.1,136.7,-4.1,132.6
,2016-03-01,49.9,22.3,24,12.1,8.1,17.2,3.1,136.7,-4.1,132.6
,2016-06-01,47.5,23.3,23.8,12.2,8.2,17.2,3.1,135.2,-4.1,131.2
2016-17,2016-09-01,48.8,24.2,24.5,12.9,8.6,18.4,3,140.4,-4.9,135.5
,2016-12-01,45.4,24.2,25.8,12.6,8.5,18.4,3,137.9,-4.9,133
,2017-03-01,49.6,22.6,23.9,12.4,8.2,18,2.9,137.6,-4.8,132.8
,2017-06-01,46,24.4,24.5,13.9,8.4,18.2,2.9,138.3,-4.8,133.5
2017-18,2017-09-01,45.7,25,25.1,14.7,8.5,17.8,3,139.9,-5,134.9
,2017-12-01,44.4,25,25.5,14.5,8.6,17.8,3,138.7,-5,133.8
,2018-03-01,46.2,24.2,24.9,13.3,8.6,17.4,3,137.6,-4.8,132.8
,2018-06-01,45.1,25.6,25.6,14.3,8.7,17.6,3,140,-4.9,135.1
2018-19,2018-09-01,44.7,26.5,25.4,14.7,8.7,17.2,3,140.2,-4.9,135.4
,2018-12-01,42.9,26.4,25.9,15.7,8.7,17.2,3,139.8,-4.9,135
,,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-
