Year,Quarter,Energy,Unnamed: 3,Unnamed: 4,Unnamed: 5,Industrial Processes and Product Use,Agriculture,Waste,Total (excluding LULUCF),"Land Use, Land Use Change and Forestry (LULUCF)",National Inventory Total
,,Electricity,Stationary energy excl. electricity,Transport,Fugitive Emissions,,,,,,
2001-02,2001-09-01,47.525067878471305,19.37465900593287,18.931616897624306,10.268150482382902,7.284106647639897,20.52607850041762,4.029905118040894,127.93958453050979,16.782987149128108,144.7225716796379
,2001-12-01,44.26378340588591,19.385204056399225,19.57385008813613,9.611348492094988,7.102322842063319,20.52607850041762,4.029905118040894,124.49249250303808,16.782987149128108,141.27547965216618
,2002-03-01,45.3871903436557,18.568517561025264,18.46091801305965,8.941505927481309,6.917631151670449,20.07985940258245,3.9422984850400042,122.29792088451481,16.41813960240793,138.71606048692274
,2002-06-01,46.814107858069264,19.185283812058334,18.657465250547435,9.872525034232567,7.259438420874183,20.302968951500034,3.9861018015404492,126.07789112882224,16.60056337576802,142.67845450459026
2002-03,2002-09-01,48.58977200363976,19.86449499064518,19.56153681795866,10.005458139936016,7.77303333373907,19.13756684556319,3.7581208468882124,128.68998297837007,20.270895985621536,148.9608789639916
,2002-12-01,46.19155748287761,19.869695944724906,20.217633280091583,9.130362706574491,7.8412350128252815,19.13756684556319,3.7581208468882124,126.14617211954528,20.270895985621536,146.41706810516683
,2003-03-01,45.39280124695643,19.10092011690969,19.05686401342449,8.593999258161016,7.825810458287813,18.72153278370312,3.676422567608033,122.3683504450506,19.8302243337602,142.19857477881078
,2003-06-01,46.38643065468639,19.539833534178324,19.268546787773616,9.528235907519143,7.727401469788019,18.929549814633155,3.717271707248123,125.09726987582677,20.050560159690868,145.14783003551764
2003-04,2003-09-01,48.98149275576146,20.348171359937485,20.32472291288351,10.085098252352694,8.257027377888543,19.964904213628763,3.6497108493711643,131.6111277218236,16.680782806972868,148.29191052879648
,2003-12-01,46.84305831222564,20.286197627552713,21.011783625635545,9.233080911124407,8.329105330618429,19.964904213628763,3.6497108493711643,129.31784087015666,16.680782806972868,145.99862367712953
,2004-03-01,49.99298252364518,19.389293916752074,19.80991484307171,8.65337096002697,8.114209092762588,19.74789438521976,3.610040079269304,129.3177058007476,16.49946995037533,145.81717575112293
,2004-06-01,49.11548492620821,19.910190728864283,20.029335761995288,9.733345809078001,7.922215971191489,19.74789438521976,3.610040079269304,130.06850766182635,16.49946995037533,146.56797761220167
2004-05,2004-09-01,50.916781035175816,20.836258233645655,20.831609941087006,10.22741911129907,8.008364020445407,20.178519352928234,3.626798816158213,134.6257505107394,22.939162384674248,157.56491289541367
,2004-12-01,48.16453355754646,20.875497550241082,21.112515833715083,9.676409280608281,7.952935665592049,20.178519352928234,3.626798816158213,131.5872100567894,22.939162384674248,154.52637244146365
