Year,Quarter,Electricity,Stationary Energy (excluding electricity),Transport,Fugitive Emissions,Industrial Processes and Product Use,Agriculture,Waste,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,47.5,19.3,18.9,9.5,7.3,19.5,4.0,125.9,14.1,140.0
,2001-12-01,44.3,19.4,19.6,8.8,7.1,19.5,4.0,122.6,14.1,136.7
,2002-03-01,45.4,18.6,18.5,8.2,7.0,19.0,3.9,120.5,19.4,139.9
,2002-06-01,46.8,19.2,18.7,9.1,7.3,19.2,3.9,124.3,19.6,143.9
2002-03,2002-09-01,48.6,19.8,19.4,8.9,7.8,18.2,3.7,126.3,19.8,146.1
,2002-12-01,46.2,19.8,20.0,8.1,7.9,18.2,3.7,123.8,19.8,143.7
,2003-03-01,45.4,19.0,18.9,7.6,7.8,17.8,3.6,120.0,14.8,134.8
,2003-06-01,46.4,19.4,19.1,8.5,7.7,18.0,3.6,122.7,15.0,137.6
2003-04,2003-09-01,48.9,20.3,20.1,8.9,8.3,18.9,3.6,129.0,15.1,144.1
,2003-12-01,46.8,20.2,20.8,8.1,8.4,18.9,3.6,126.7,15.1,141.8
,2004-03-01,49.9,19.2,19.6,7.6,8.1,18.7,3.5,126.8,15.0,141.7
,2004-06-01,49.0,19.8,19.8,8.6,8.0,18.7,3.5,127.5,15.0,142.5
2004-05,2004-09-01,50.9,20.8,20.7,9.2,8.0,19.1,3.6,132.2,15.2,147.4
,2004-12-01,48.2,20.8,21.0,8.6,8.0,19.1,3.6,129.2,15.2,144.4
,2005-03-01,48.8,19.8,19.6,8.0,7.9,18.7,3.5,126.3,20.6,146.9
,2005-06-01,48.9,20.5,20.4,9.1,8.1,18.9,3.5,129.4,20.9,150.3
2005-06,2005-09-01,50.9,20.6,20.3,9.4,8.3,18.7,3.5,131.7,21.1,152.8
,2005-12-01,48.9,20.4,21.5,8.8,8.1,18.7,3.5,130.0,21.1,151.1
,2006-03-01,50.6,19.4,20.3,8.2,7.9,18.3,3.4,128.1,22.5,150.6
,2006-06-01,50.9,20.6,20.3,9.5,8.1,18.5,3.5,131.3,22.7,154.1
2006-07,2006-09-01,52.2,20.5,21.0,10.1,8.6,17.8,3.6,133.7,23.0,156.7
,2006-12-01,50.8,20.9,21.8,9.4,8.7,17.8,3.6,133.0,23.0,156.0
,2007-03-01,51.6,19.7,20.9,8.9,8.5,17.4,3.5,130.6,13.3,143.8
,2007-06-01,49.5,20.5,21.2,10.2,8.6,17.6,3.5,131.1,13.4,144.5
2007-08,2007-09-01,53.5,21.2,21.6,10.7,8.7,17.1,3.7,136.6,13.5,150.1
,2007-12-01,50.3,21.2,22.2,8.9,8.6,17.1,3.7,132.0,13.5,145.5
,2008-03-01,51.7,20.3,21.2,8.9,8.5,16.9,3.6,131.2,13.1,144.2
,2008-06-01,50.5,21.4,21.7,9.6,8.7,16.9,3.6,132.4,13.1,145.4
2008-09,2008-09-01,55.4,22.2,22.0,9.7,9.2,17.3,3.7,139.6,13.3,152.8
,2008-12-01,52.3,21.8,22.5,9.7,8.6,17.3,3.7,135.9,13.3,149.1
,2009-03-01,52.5,19.5,21.1,8.6,7.2,16.9,3.6,129.3,13.9,143.2
,2009-06-01,51.5,20.7,21.4,10.2,7.4,17.1,3.6,131.9,14.1,145.9
2009-10,2009-09-01,51.4,20.8,22.4,9.9,8.6,16.8,3.8,133.6,14.2,147.9
,2009-12-01,51.3,21.1,22.9,9.1,8.9,16.8,3.8,133.8,14.2,148.0
,2010-03-01,52.5,20.6,21.5,9.1,9.0,16.4,3.7,132.8,5.8,138.6
,2010-06-01,49.9,21.4,22.1,9.9,9.0,16.6,3.7,132.6,5.9,138.5
2010-11,2010-09-01,51.0,21.9,22.6,10.4,9.1,17.8,3.6,136.4,5.9,142.4
,2010-12-01,47.1,21.5,23.6,9.7,9.2,17.8,3.6,132.4,5.9,138.4
,2011-03-01,50.7,20.1,22.3,8.0,8.9,17.4,3.5,131.0,1.5,132.5
,2011-06-01,49.7,21.6,23.0,9.2,8.8,17.6,3.6,133.6,1.5,135.1
2011-12,2011-09-01,50.9,23.2,22.9,9.8,9.3,18.1,3.2,137.4,1.5,139.0
,2011-12-01,49.2,22.6,23.4,9.5,8.3,18.1,3.2,134.3,1.5,135.9
,2012-03-01,50.3,21.2,22.7,8.8,8.2,17.9,3.1,132.3,3.6,135.9
,2012-06-01,48.7,21.7,23.1,10.0,8.1,17.9,3.1,132.7,3.6,136.3
2012-13,2012-09-01,47.0,23.9,23.0,10.0,8.4,18.3,3.0,133.6,3.6,137.2
,2012-12-01,45.9,23.5,23.8,9.7,8.1,18.3,3.0,132.3,3.6,135.9
,2013-03-01,47.6,21.9,22.2,8.9,8.0,17.9,2.9,129.3,1.9,131.3
,2013-06-01,46.6,22.8,22.9,9.7,8.0,18.1,3.0,131.1,1.9,133.0
2013-14,2013-09-01,45.0,23.9,23.4,9.5,8.2,18.2,3.0,131.3,2.0,133.3
,2013-12-01,44.0,23.9,23.9,9.5,8.2,18.2,3.0,130.8,2.0,132.7
,2014-03-01,47.2,22.5,22.6,9.3,7.9,17.8,3.0,130.4,0.5,130.9
,2014-06-01,44.5,23.5,23.0,9.3,8.1,18.0,3.0,129.4,0.5,130.0
2014-15,2014-09-01,47.0,24.5,23.3,11.3,8.4,17.6,3.0,135.1,0.5,135.7
,2014-12-01,45.7,23.9,24.1,10.1,8.4,17.6,3.0,132.8,0.5,133.3
