Year,Quarter,Energy,Unnamed: 3,Unnamed: 4,Unnamed: 5,Industrial Processes and Product Use,Agriculture,Waste,Total (excluding LULUCF), LULUCF, Total (including LULUCF)
,,Electricity,Stationary energy excl. electricity,Transport,Fugitive Emissions,,,,,,
2001-02,2001-09-01,47.525067878471305,19.37513441929389,18.931616897624306,10.208046560233615,7.2843355964630065,19.451005623746582,4.029657652738183,126.80486462857088,16.5651051993881,143.36996982795898
,2001-12-01,44.26378340588591,19.385522656449588,19.57385008813613,9.555491959772958,7.1021720843141996,19.451005623746582,4.029657652738183,123.36148347104354,16.5651051993881,139.92658867043164
,2002-03-01,45.3871903436557,18.570620137425085,18.46091801305965,8.89078408150823,6.918033079677489,19.028157675404266,3.942056399417787,121.19775973014822,16.204994216792702,137.40275394694092
,2002-06-01,46.814107858069264,19.18238722224713,18.657465250547435,9.818510788524375,7.25895830179315,19.239581649575424,3.985857026077985,124.95686809683477,16.385049708090403,141.34191780492517
2002-03,2002-09-01,48.58977200363976,19.863601736595413,19.56153681795866,9.941361730379212,7.772533259274917,18.144837716070725,3.7577741139853487,127.63141737790404,18.746554643060353,146.3779720209644
,2002-12-01,46.19155748287761,19.86993892427886,20.217633280091587,9.075094301565048,7.841227997929188,18.144837716070725,3.7577741139853487,125.09806381679836,18.746554643060353,143.8446184598587
,2003-03-01,45.39280124695643,19.10087031003954,19.056864013424494,8.541865162723308,7.825972919455645,17.750384722243094,3.6760833723769712,121.34484174721949,18.339020846472085,139.68386259369157
,2003-06-01,46.38643065468639,19.540533615544295,19.268546787773616,9.47175231305648,7.727746097980432,17.94761121915691,3.71692874318116,124.05954943137928,18.54278774476622,142.6023371761455
2003-04,2003-09-01,48.98149275576146,20.34653825071636,20.324725817917656,10.017187150475198,8.256740939670006,18.928392785342943,3.649281390422118,130.50435909030574,16.59788839926376,147.1022474895695
,2003-12-01,46.84305831222564,20.28532347744563,21.01178653066969,9.173547042305445,8.32926127774826,18.928392785342943,3.649281390422118,128.22065081615972,16.59788839926376,144.81853921542347
,2004-03-01,49.99298252364518,19.39012278226896,19.809917716529398,8.598529819837402,8.114178000538983,18.722649385502258,3.6096152883523125,128.2379955166745,16.417476568836978,144.65547208551146
,2004-06-01,49.11548492620821,19.911869122675597,20.02933863545298,9.671586558644467,7.922377554503798,18.722649385502258,3.6096152883523125,128.9829214713396,16.417476568836978,145.40039804017658
2004-05,2004-09-01,50.916781035175816,20.834113950657695,20.8321634097843,10.160217607886807,8.009035071772024,19.137047704175945,3.626310052775605,133.5156688322282,22.37906553332636,155.89473436555454
,2004-12-01,48.16453355754646,20.876656883647158,21.113069302412384,9.61173803058101,7.952293660475136,19.137047704175945,3.626310052775605,130.48164919161368,22.37906553332636,152.86071472494004
,2005-03-01,48.812055620242525,19.830019999015015,19.70330832553457,8.88779459654171,7.874888541636476,18.7210249279982,3.5474772255413525,127.37656923650985,21.892564108688827,149.26913334519867
,2005-06-01,48.86850730108798,20.44369304781919,20.563185105943095,10.016761965213535,8.039380641683227,18.92903631608707,3.586893639158479,130.44745801699258,22.135814821007592,152.58327283800017
2005-06,2005-09-01,50.87523666747608,20.685819307563886,20.589082673841524,10.458664953287013,8.2220902460478,18.742896086705123,3.5728645809587047,133.14665451588013,21.437428057784008,154.58408257366415
,2005-12-01,48.94961491670996,20.492318879274453,21.876338474883745,9.802603530104589,7.960380818801509,18.742896086705123,3.5728645809587047,131.3970172874381,21.437428057784008,152.83444534522212
,2006-03-01,50.624288854741415,19.377863259869493,20.54076549426732,9.170759942190926,7.763408958035113,18.335441823950664,3.4951936118074283,129.30772194486235,20.971397013049568,150.27911895791192
,2006-06-01,50.86399112560543,20.631024488451796,20.49749970938726,10.531068872489167,8.00560434076582,18.539168955327895,3.5340290963830663,132.60238658841044,21.20441253541679,153.80679912382723
2006-07,2006-09-01,52.17291661738996,20.530592167357607,21.230623301216696,10.938744831058735,8.528116581154118,17.79995483399818,3.658364452727273,134.85931278490258,23.665301269910866,158.52461405481344
,2006-12-01,50.84750483290382,21.02625786903871,22.010588987421773,10.252952396578355,8.63109868919847,17.79995483399818,3.658364452727273,134.22672206186658,23.665301269910866,157.89202333177744
,2007-03-01,51.629455089558796,19.750416018276148,21.168909489545467,9.682097816777201,8.440801465076808,17.412999294128646,3.578834790711462,131.66351396407453,23.15083819882584,154.81435216290038
,2007-06-01,49.475127237370586,20.6035899148546,21.440989732296696,11.04425250247455,8.610629648774351,17.606477064063412,3.618599621719367,132.39966572155356,23.408069734368354,155.80773545592191
2007-08,2007-09-01,53.524378671521916,21.35763900600128,21.711230365779603,11.778275259769377,8.698702228597694,17.14262141983229,3.7678960544898406,137.980743005992,19.77001186694217,157.75075487293418
,2007-12-01,50.28911487131944,21.272778345242838,22.25274787991393,9.929154824205604,8.599603692607937,17.14262141983229,3.7678960544898406,133.25391708761188,19.77001186694217,153.02392895455404
,2008-03-01,51.65938223266271,20.324855498133086,21.280904883840165,9.867786583282186,8.501061284436526,16.95628857831238,3.7269406625932118,132.31721972326028,19.55512043360584,151.87234015686613
,2008-06-01,50.48849987176231,21.38238110888975,21.71240216150484,10.616972566380046,8.624788584512583,16.95628857831238,3.7269406625932118,133.50827353395513,19.55512043360584,153.06339396756098
2008-09,2008-09-01,55.431904779667576,21.9022280945328,22.12210197241171,10.655949079551581,9.33443718791097,17.27761267950235,3.755748912246916,140.47998270582391,17.569934378925346,158.04991708474927
,2008-12-01,52.335051480142546,21.35622265405375,22.561451282176364,10.728075958371559,8.669615536819393,17.27761267950235,3.755748912246916,136.68377850331288,17.569934378925346,154.25371288223823
,2009-03-01,52.453613699319284,19.1690433542908,21.15000814171425,9.519281902295436,7.268277904980864,16.902012403860994,3.674102196763287,130.1363396032249,17.187979283731316,147.32431888695623
,2009-06-01,51.474000989586415,20.295120488964315,21.487308426424807,11.21957955801523,7.509657936120713,17.089812541681674,3.7149255545051014,132.79040549529824,17.37895683132833,150.16936232662658
2009-10,2009-09-01,51.37800181207039,20.612445113825,22.405225386474623,11.275999534093593,8.609868500330784,16.717254817636178,3.83449883748286,134.83329400191343,12.270072508163315,147.10336651007674
,2009-12-01,51.28230108658259,21.00586664456051,22.89376945038369,10.34683589371603,8.95205597891049,16.717254817636178,3.83449883748286,135.03258270927236,12.270072508163315,147.30265521743567
,2010-03-01,52.517253769053085,20.309030449641867,21.412252135687535,9.91390511743184,9.078668256079352,16.353836234644085,3.751140167102797,133.33608612964056,12.00333180146411,145.33941793110466
,2010-06-01,49.91792844662358,21.05521639245085,22.06628572134871,10.831795816487356,9.005018424839928,16.535545526140133,3.7928195022928284,133.20460983018336,12.136702154813714,145.34131198499708
2010-11,2010-09-01,51.03749746498455,21.909632789423835,22.7685510645724,11.552833402429298,9.144502357100741,17.843624090886756,3.6659393066903525,137.92258047608792,7.405214186057214,145.32779466214512
,2010-12-01,47.05238575315398,21.575713772255966,23.739420886449707,10.753029666744258,9.229385351097116,17.843624090886756,3.6659393066903525,133.85949882727812,7.405214186057214,141.26471301333532
,2011-03-01,50.669308305231915,20.1335518755468,22.10477760101991,8.978076605962684,8.964046977918875,17.45571921934574,3.586244973936214,131.89172555896212,7.2442312689690125,139.13595682793112
,2011-06-01,49.738401433561656,21.64746322755361,22.787396283687706,10.244699968641632,8.913056962955823,17.649671655116247,3.6260921403132835,134.60678167182994,7.324722727513112,141.93150439934305
2011-12,2011-09-01,50.92271692796247,23.024818238311994,22.51489010398271,10.76180789455952,9.183007790848606,18.103539334377405,3.2637585379489162,137.77453882799162,4.552276181870579,142.3268150098622
,2011-12-01,49.166762961056016,22.50895483923168,22.91425604917189,10.476191328076755,8.196508244905225,18.103539334377405,3.2637585379489162,134.6299712947679,4.552276181870579,139.18224747663848
,2012-03-01,50.343444497549726,21.316404951867245,23.06624482552779,9.638280698453281,8.090471453994162,17.906761732916785,3.228282901666863,133.58989106197583,4.5027949190241605,138.092685981
,2012-06-01,48.68389358206956,21.973393154532165,23.439840011370443,11.066982909072335,7.9363541747683035,17.906761732916785,3.228282901666863,134.23550846639645,4.5027949190241605,138.7383033854206
2012-13,2012-09-01,47.02227974133915,23.998179767645254,23.23489389345105,11.012853044471012,8.004258431482688,18.18483358521128,3.116588371744937,134.57388683534535,1.8409651295213154,136.41485196486667
,2012-12-01,45.90533879027932,23.814660840065496,23.914844689308087,10.621502256313459,7.956764914761516,18.18483358521128,3.116588371744937,133.5145334476841,1.8409651295213154,135.35549857720542
,2013-03-01,47.55652112354902,22.12878145736758,22.208361913883216,9.782837950489837,7.721397104017553,17.78951111596755,3.0488364506200467,130.23624711589483,1.800944148444765,132.03719126433958
,2013-06-01,46.56437156326466,23.129701879925452,22.79372207237244,10.635579509892953,7.820945184969304,17.987172350589415,3.082712411182492,132.0142049721967,1.8209546389830402,133.83515961117973
2013-14,2013-09-01,45.04378213360583,23.972930188113867,23.420586536020263,10.346530667621492,8.084722493880578,18.309482597061685,3.148193684645464,132.32622830094917,2.041456942663308,134.36768524361247
,2013-12-01,43.99877067187843,23.88592879004019,23.905597272743876,10.248124574845177,8.03365988503003,18.309482597061685,3.148193684645464,131.52975747624484,2.041456942663308,133.57121441890814
,2014-03-01,47.20703909876331,22.539666928977958,22.74084379311203,10.064405420426445,7.72750942383489,17.911450366690776,3.079754691500997,131.2706697233064,1.9970774439097576,133.26774716721616
,2014-06-01,44.539292549802916,23.669015910788225,23.20261695358332,10.185679901987223,7.869125574955813,18.11046648187623,3.11397418807323,130.69017156106696,2.019267193286533,132.7094387543535
2014-15,2014-09-01,47.51479882025637,23.03643332740837,23.96543964710195,12.394092601112316,8.389409763735442,17.658883909924295,3.011837229574044,135.97089529911278,-0.8917289103027146,135.07916638881008
,2014-12-01,46.37323664394774,22.541014924582477,24.464299010877046,11.046715435672635,8.360579966052025,17.658883909924295,3.011837229574044,133.45656712063027,-0.8917289103027146,132.56483821032757
,2015-03-01,47.94107544432901,21.435476334234703,23.290823918945442,10.416592945099135,8.102047304520612,17.274995129273766,2.946362507191999,131.40737358359468,-0.8723434992091772,130.5350300843855
,2015-06-01,47.160154207133324,22.270988302536146,23.54710984728602,11.587780464179938,8.221816222067048,17.46693951959903,2.9790998683830217,133.23388843118454,-0.8820362047559459,132.3518522264286
2015-16,2015-09-01,49.30775956636019,22.93997258580687,24.07882347774775,12.32687855373447,8.425561297039245,17.4122135072148,3.118909701724215,137.61011868962754,-4.107631928085016,133.5024867615425
,2015-12-01,48.04832406436194,22.86239983595032,24.477947725338993,11.784130497934626,8.354726792625637,17.4122135072148,3.118909701724215,136.05865212515053,-4.107631928085016,131.9510201970655
,2016-03-01,49.90753540621889,21.82279572578061,24.015851089785972,11.917109208892064,8.061822618479244,17.222950316918986,3.0850085093141693,136.03307287538993,-4.062983754953658,131.97008912043628
,2016-06-01,47.47914060973109,22.79641789992793,23.781062795867914,12.067698608183111,8.153056536330897,17.222950316918986,3.0850085093141693,134.5853352762741,-4.062983754953658,130.52235152132045
2016-17,2016-09-01,48.754371364220574,23.88404397407361,24.596042608684826,12.648007155111925,8.58550233237286,18.39599585577872,2.9710999577237165,139.83506324796622,-4.897705177074212,134.937358070892
,2016-12-01,45.39575092922495,23.85446407723721,25.912493272944825,12.289500185803135,8.516525319497585,18.39599585577872,2.9710999577237165,137.33582959821013,-4.897705177074212,132.4381244211359
,2017-03-01,49.58532804482587,22.318301383808116,23.959625900038127,12.12663034628884,8.200783385830828,17.996082902392224,2.9065108282079835,137.093262791392,-4.791233325398686,132.30202946599331
,2017-06-01,46.03511800922767,24.0501947182841,24.55581376014577,13.64806862735449,8.383692664924126,18.196039379085473,2.93880539296585,137.8077325519875,-4.84446925123645,132.96326330075104
2017-18,2017-09-01,45.892999556259795,24.3632950195148,25.119647945804324,13.7090321036262,8.547154551259162,18.057994162634355,2.9710999577237165,138.66122329682236,-4.956345692181012,133.70487760464135
,2017-12-01,44.52627555483361,24.32875232120601,25.49745091148825,13.61547305204273,8.602482628339734,18.057994162634355,2.9710999577237165,137.59952858826838,-4.956345692181012,132.64318289608738
,2018-03-01,46.34464837318099,23.704242611201202,24.794050463271642,12.91162624794618,8.610658030271969,17.6654290721423,2.9065108282079835,136.93716562622225,-4.848599046698816,132.08856657952344
,2018-06-01,45.26201837009571,24.891728545202415,25.472944430047065,13.769389064392328,8.742689445122492,17.861711617388327,2.93880539296585,138.9392868652142,-4.902472369439914,134.03681449577428
2018-19,2018-09-01,45.523794053338904,25.01435830873949,25.280584186212206,13.764870184708926,8.757876950615431,16.926820031038616,2.9710999577237165,138.23940367237728,-4.854890437077642,133.38451323529964
,2018-12-01,43.65194075613872,25.295540672409764,25.829390163270602,14.37787973431981,8.721512100322116,16.926820031038616,2.9710999577237165,137.77418341522332,-4.854890437077642,132.91929297814568
,2019-03-01,46.68892293329342,24.15459041540924,24.25131940397796,13.324669748964967,8.550956312596929,16.558845682537772,2.9065108282079835,136.43581532498825,-4.749349340619431,131.68646598436882
,2019-06-01,44.03339450563518,25.356631880373673,25.015992736306206,14.900052998459415,8.670426213179082,16.742832856788194,2.93880539296585,137.6581365837076,-4.802119888848536,132.85601669485908
2019-20,2019-09-01,43.7221570515421,25.724557018380743,25.19240244261529,14.734598842610097,8.757052666138772,16.171171170655953,2.9710999577237165,137.27303914966666,-3.9487086368509647,133.3243305128157
,2019-12-01,,,,,,,,,,
,2020-03-01,,,,,,,,,,
,2020-06-01,,,,,,,,,,
