Quarter,Total (excluding LULUCF)
2002-06-01,127.5
2002-09-01,132.4
2002-12-01,129.8
2003-03-01,125.8
2003-06-01,128.6
2003-09-01,132.7
2003-12-01,130.4
2004-03-01,130.3
2004-06-01,131.3
2004-09-01,134.9
2004-12-01,131.9
2005-03-01,128.8
2005-06-01,132.2
2005-09-01,134.6
2005-12-01,133.1
2006-03-01,130.9
2006-06-01,134.0
2006-09-01,137.1
2006-12-01,136.5
2007-03-01,133.7
2007-06-01,134.4
2007-09-01,140.7
2007-12-01,136.5
2008-03-01,135.2
2008-06-01,136.5
2008-09-01,142.2
2008-12-01,138.7
2009-03-01,132.1
2009-06-01,134.8
2009-09-01,136.7
2009-12-01,137.1
2010-03-01,136.1
2010-06-01,135.6
2010-09-01,141.3
2010-12-01,137.0
2011-03-01,135.4
2011-06-01,137.6
2011-09-01,141.2
2011-12-01,137.4
2012-03-01,135.1
2012-06-01,137.1
