Year,Quarter,Electricity,Stationary Energy (excluding electricity),Transport,Fugitive Emissions,Industrial Processes and Product Use,Agriculture,Waste,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,47.5,19.3,18.9,9.8,7.3,22.6,4.3,129.7,14.9,144.6
,2001-12-01,44.3,19.4,19.6,9.2,7.1,22.6,4.3,126.4,14.9,141.3
,2002-03-01,45.4,18.6,18.5,8.6,7.0,22.1,4.2,124.2,18.5,142.7
,2002-06-01,46.8,19.2,18.7,9.5,7.3,22.3,4.2,128.0,18.7,146.7
2002-03,2002-09-01,48.6,19.8,19.4,9.5,7.8,21.0,4.0,130.1,18.9,148.9
,2002-12-01,46.2,19.8,20.0,8.7,7.9,21.0,4.0,127.6,18.9,146.5
,2003-03-01,45.4,19.0,18.9,8.1,7.8,20.6,3.9,123.7,12.7,136.4
,2003-06-01,46.4,19.4,19.1,9.0,7.7,20.8,3.9,126.4,12.9,139.2
2003-04,2003-09-01,48.9,20.3,20.1,9.4,8.3,21.7,3.9,132.6,13.0,145.6
,2003-12-01,46.8,20.2,20.8,8.6,8.4,21.7,3.9,130.3,13.0,143.2
,2004-03-01,49.9,19.2,19.6,8.1,8.1,21.5,3.8,130.3,13.5,143.8
,2004-06-01,49.0,19.8,19.8,9.1,8.0,21.5,3.8,131.1,13.5,144.5
2004-05,2004-09-01,50.9,20.8,20.7,9.7,8.0,22.1,3.9,136.0,13.7,149.7
,2004-12-01,48.2,20.8,21.0,9.1,8.0,22.1,3.9,133.0,13.7,146.6
,2005-03-01,48.8,19.8,19.6,8.5,7.9,21.6,3.8,130.0,18.9,148.8
,2005-06-01,48.9,20.5,20.4,9.5,8.1,21.8,3.8,133.2,19.1,152.2
2005-06,2005-09-01,50.9,20.6,20.3,9.8,8.3,21.7,3.8,135.3,19.3,154.6
,2005-12-01,48.9,20.4,21.5,9.2,8.1,21.7,3.8,133.7,19.3,152.9
,2006-03-01,50.6,19.4,20.3,8.6,7.9,21.2,3.7,131.7,18.9,150.6
,2006-06-01,50.9,20.6,20.3,9.8,8.1,21.5,3.8,135.0,19.1,154.1
2006-07,2006-09-01,52.2,20.5,21.0,10.5,8.6,20.8,3.9,137.4,19.3,156.7
,2006-12-01,50.9,20.9,21.8,9.8,8.7,20.8,3.9,136.7,19.3,156.0
,2007-03-01,51.7,19.7,20.9,9.3,8.5,20.3,3.8,134.2,11.8,146.0
,2007-06-01,49.5,20.5,21.2,10.6,8.6,20.6,3.9,134.8,11.9,146.7
2007-08,2007-09-01,53.5,21.2,21.6,11.2,8.7,20.0,4.0,140.3,12.0,152.3
,2007-12-01,50.3,21.2,22.2,9.4,8.6,20.0,4.0,135.7,12.0,147.7
,2008-03-01,51.7,20.3,21.2,9.4,8.5,19.8,4.0,134.8,11.2,146.0
,2008-06-01,50.5,21.4,21.7,10.1,8.7,19.8,4.0,136.0,11.2,147.2
2008-09,2008-09-01,55.4,22.2,22.0,10.0,9.2,20.2,4.0,143.1,11.3,154.4
,2008-12-01,52.3,21.8,22.4,10.1,8.6,20.2,4.0,139.4,11.3,150.7
,2009-03-01,52.5,19.5,21.0,8.9,7.2,19.8,3.9,132.7,10.8,143.5
,2009-06-01,51.5,20.7,21.3,10.5,7.4,20.0,4.0,135.4,10.9,146.2
2009-10,2009-09-01,51.4,20.8,22.4,10.2,8.6,19.8,4.1,137.3,11.0,148.3
,2009-12-01,51.3,21.1,22.9,9.4,8.9,19.8,4.1,137.5,11.0,148.5
,2010-03-01,52.5,20.6,21.5,9.4,9.0,19.4,4.0,136.4,7.0,143.3
,2010-06-01,49.9,21.4,22.1,10.1,9.0,19.6,4.0,136.2,7.0,143.2
2010-11,2010-09-01,51.0,21.9,22.6,10.6,9.1,20.8,3.9,139.9,7.1,147.0
,2010-12-01,47.1,21.5,23.6,9.9,9.2,20.8,3.9,135.9,7.1,143.0
,2011-03-01,50.7,20.1,22.3,8.1,8.9,20.3,3.8,134.3,0.9,135.2
,2011-06-01,49.7,21.6,23.0,9.4,8.8,20.6,3.9,137.0,0.9,137.9
2011-12,2011-09-01,50.9,23.2,22.9,9.9,9.3,21.0,3.5,140.7,0.9,141.6
,2011-12-01,49.2,22.6,23.4,9.7,8.3,21.0,3.5,137.6,0.9,138.5
,2012-03-01,50.3,21.2,22.7,8.9,8.2,20.7,3.5,135.6,3.1,138.7
,2012-06-01,48.7,21.7,23.1,10.2,8.1,20.7,3.5,135.9,3.1,139.0
2012-13,2012-09-01,47.1,23.9,23.2,10.1,8.4,21.4,3.3,137.5,3.2,140.6
,2012-12-01,46.0,23.5,24.0,9.8,8.1,21.4,3.3,136.2,3.2,139.3
,2013-03-01,47.6,21.9,22.5,9.0,7.9,20.9,3.2,133.1,3.0,136.1
,2013-06-01,46.6,22.8,23.2,9.8,8.0,21.1,3.3,134.9,3.0,137.9
2013-14,2013-09-01,45.0,24.0,23.4,9.7,8.2,21.1,3.3,134.7,3.1,137.7
,2013-12-01,44.0,24.0,23.9,9.7,8.2,21.1,3.3,134.1,3.1,137.2
,2014-03-01,47.2,22.6,22.6,9.4,7.9,20.7,3.2,133.6,2.6,136.2
,2014-06-01,44.5,23.6,23.0,9.4,8.0,20.9,3.3,132.7,2.6,135.3
2014-15,2014-09-01,46.9,24.6,23.3,10.5,8.2,20.2,3.3,137.1,2.6,139.7
,2014-12-01,45.5,24.1,24.1,9.7,8.2,20.2,3.3,135.0,2.6,137.6
,2015-03-01,47.3,22.7,22.7,8.9,7.9,19.7,3.2,132.6,2.7,135.3
,2015-06-01,46.3,23.4,23.0,9.6,8.1,20.0,3.3,133.7,2.7,136.4
2015-16,2015-09-01,47.5,24.6,23.6,10.1,8.4,20.0,3.3,137.5,2.8,140.3
,2015-12-01,,,,,,,,,,
,2016-03-01,,,,,,,,,,
,2016-06-01,,,,,,,,,,
