Year,Quarter,Energy,Unnamed: 3,Unnamed: 4,Unnamed: 5,Industrial Processes and Product Use,Agriculture,Waste,"Land Use, Land Use Change and Forestry (LULUCF)",National Inventory Total
,,Electricity,Stationary energy excl. electricity,Transport,Fugitive Emissions,,,,,
2001-02,2001-09-01,47.50662803394625,19.408897870695778,18.89845365159691,11.298458140951654,6.896290823996512,22.0387022157075,4.811633287717602,17.4993129227093,148.3583769473215
,2001-12-01,44.246608947846575,19.412711727128496,19.53957088454888,10.622622125864106,6.728487074660212,22.0387022157075,4.811633287717602,17.4993129227093,144.89964918618267
,2002-03-01,45.36958000093075,18.60606280973665,18.42837162977657,9.893548289336213,6.5469114810317395,21.559599993626897,4.707032564071566,17.118893076563445,142.22999984507382
,2002-06-01,46.795943867800176,19.22029751376824,18.62507675413952,10.901572985895154,6.842794389053667,21.799151104667196,4.759332925894584,17.309102999636377,146.2532725408549
2002-03,2002-09-01,48.56843379859164,19.922949661831392,19.52380273072,10.939203360259324,7.324329184576355,20.594551593555458,4.153162482163531,20.516734524001787,151.5431673356995
,2002-12-01,46.17127245406564,19.92653593344277,20.178656795689655,10.071957454181522,7.413452643688494,20.594551593555458,4.153162482163531,20.516734524001787,149.02632388078885
,2003-03-01,45.372866992055144,19.164452964065422,19.01984006994671,9.478698861173351,7.361429322608158,20.146843950217292,4.062876341246932,20.0707185560887,144.6777270574017
,2003-06-01,46.366060047294255,19.610706988294325,19.231758103987293,10.47805895805927,7.387972978410189,20.370697771886373,4.108019411705231,20.293726540045242,147.84700079968218
2003-04,2003-09-01,48.9606294678098,20.407532133875975,20.28448870859747,10.844656469983907,7.799078650390841,21.429154164130207,4.03173982922022,16.64949562928657,150.40677505329498
,2003-12-01,46.82310587388373,20.34484134999894,20.970224107383796,10.023695552871638,7.848479565829266,21.429154164130207,4.03173982922022,16.64949562928657,148.1207360726044
,2004-03-01,49.9716883994511,19.44467881668755,19.77045971421758,9.408200452901216,7.665315694594171,21.19622857538966,3.9879165702069566,16.468522850707362,147.91301107415558
,2004-06-01,49.09456456532803,19.97708823021139,19.990094661719397,10.527809815987307,7.474386988494674,21.19622857538966,3.9879165702069566,16.468522850707362,148.71661225804476
2004-05,2004-09-01,50.89390815729196,20.898363896706442,20.789957573295887,11.206170899023293,7.4631848826570675,21.669781288439847,4.003560328583302,22.528984556294574,159.45391158229236
,2004-12-01,48.14289704651813,20.93817115967071,21.0701657736396,10.6450427175898,7.484813103704157,21.669781288439847,4.003560328583302,22.528984556294574,156.4834159744401
,2005-03-01,48.79012822882533,19.887632190899573,19.663132542178236,9.871211958885327,7.497326965353155,21.198699086517237,3.9165264083967077,22.03922402246208,152.86388140351767
,2005-06-01,48.8465545504007,20.506787802839295,20.52183604873454,11.068780091504863,7.6397756759485285,21.434240187478544,3.9600433684900045,22.284104289378327,156.2621220147748
2005-06,2005-09-01,50.85317042466765,20.747824163112693,20.5487455115775,11.397799182247079,7.793806465377644,21.243176883937412,3.9382295779897554,21.721703012799676,158.24445522170942
,2005-12-01,48.928383878608045,20.55367551386278,21.83358835613447,10.739938529930583,7.628240903683987,21.243176883937412,3.9382295779897554,21.721703012799676,156.5869366569467
,2006-03-01,50.602331456151326,19.43443165592327,20.499825446778367,10.054860439333577,7.473853922072355,20.781368690808335,3.8526158915117166,21.24949207773881,153.94877958031773
,2006-06-01,50.841929760353814,20.68909448731451,20.456946414872913,11.450472643539065,7.674414593983393,21.012272787372872,3.8954227347507357,21.485597545269243,157.5061509674565
2006-07,2006-09-01,52.149648102916046,20.546479980310714,21.093853168551036,12.135551813567355,8.189995578558898,20.237064713572686,4.032936283700256,25.094115289537175,163.47964493071416
,2006-12-01,50.82482743668227,21.03816284450379,21.865349565179933,11.428009510831235,8.217493534395013,20.237064713572686,4.032936283700256,25.094115289537175,162.73795917840235
,2007-03-01,51.60642895261035,19.76032221303458,21.031615003519377,10.801680934050164,8.040604955014565,19.797128524147194,3.9452637557937273,24.548591044112445,159.5316353822824
,2007-06-01,49.4530619056073,20.617708193666445,21.29931006039562,12.260538654735615,8.165829060707951,20.017096618859938,3.9891000197469912,24.82135316682481,160.62399768054468
2007-08,2007-09-01,53.50127265374732,21.37688726583625,21.56248906868148,12.786216689899408,8.215501301174273,19.49424807693514,4.150474355599422,20.793958612535796,161.88104802440907
,2007-12-01,50.26740548933451,21.28838645791559,22.096906194683637,10.783596660469843,8.15749051516203,19.49424807693514,4.150474355599422,20.793958612535796,157.03246636263594
,2008-03-01,51.637081317944606,20.338599623226862,21.134062684342858,10.772575814710653,8.072328917424642,19.282354076098883,4.105360503908124,20.5679373232691,155.9103002609257
,2008-06-01,50.4667044169732,21.39183363176889,21.555341089338135,11.582297653974553,8.178127439481619,19.282354076098883,4.105360503908124,20.5679373232691,157.1299561348125
2008-09,2008-09-01,55.41384980941849,21.947167564454336,22.089540576072984,11.568683509794486,8.590201569933877,19.596222813076032,4.130373695825658,20.163182656431562,163.49922219500743
,2008-12-01,52.318005199643714,21.397612646776846,22.52789435483207,11.635620979989689,8.096057794051916,19.596222813076032,4.130373695825658,20.163182656431562,159.86497014062746
,2009-03-01,52.43652880139699,19.21013863294606,21.11786132467032,10.302895977730111,6.818346925286717,19.170217969313512,4.040582963307708,19.72485259868305,152.82142519333448
,2009-06-01,51.45723516564148,20.340799467984027,21.455650659105768,12.092248150624185,6.949910017717313,19.383220391194772,4.0854783295666826,19.944017627557308,155.70855980939155
2009-10,2009-09-01,51.3609863138239,20.669324024263922,22.63679811154023,12.069817509518009,8.058111111521788,18.929396973941135,4.1303456311057465,16.71643314281302,154.57121281852773
,2009-12-01,51.26531728274752,21.063126291076617,23.120779933045178,11.072124744985082,8.387726427883903,18.929396973941135,4.1303456311057465,16.71643314281302,154.6852504275982
,2010-03-01,52.49986097042526,20.363876274447108,21.61967503191915,10.583970031764203,8.48799407963307,18.517888344072848,4.040555508690403,16.353032422317085,152.46685266326912
,2010-06-01,49.90139649921429,21.111242539914695,21.27534375251814,11.601501277273632,8.456736743984997,18.72364265900699,4.085450569898074,16.534732782565055,151.69004682437588
2010-11,2010-09-01,51.01345341094901,23.162419791779637,22.556853013268647,12.278731685853943,8.639192413029916,20.14719836602704,3.9713015080884393,9.356967066106202,151.12611725510283
,2010-12-01,47.03021910781001,21.08594623502785,23.58329332083368,11.311478034102645,8.695990599658153,20.14719836602704,3.9713015080884393,9.356967066106202,145.18239423765402
,2011-03-01,50.645437707194276,19.5970635196855,22.017090252278106,9.47529310393777,8.489834357263037,19.709215792852536,3.8849688666082556,9.153554738582153,142.97245833840165
,2011-06-01,49.714969391022144,21.605231021854173,23.112616484483848,10.66050832650089,8.375748505437597,19.92820707943979,3.9281351873483477,9.255260902344178,146.580676898431
