Year,Quarter,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF,Total excluding LULUCF
2004-05,2004-09-01,20.341679848886525,158.73858114242643,138.3969012935399
,2004-12-01,20.341679848886525,151.16309835128916,130.82141850240265
,2005-03-01,19.899469417388985,149.8880230375116,129.98855362012262
,2005-06-01,20.12057463313775,156.50345417612,136.38287954298224
2005-06,2005-09-01,21.871474579870423,161.81420648900928,139.94273190913884
,2005-12-01,21.871474579870423,153.80260615138857,131.93113157151816
,2006-03-01,21.3960077411776,152.03330296727052,130.63729522609293
,2006-06-01,21.633741160524018,159.14036152959906,137.50662036907505
2006-07,2006-09-01,23.890651289597027,165.6011910802199,141.71053979062287
,2006-12-01,23.890651289597027,157.4603457426513,133.56969445305427
,2007-03-01,23.37128930504055,155.5108539361123,132.13956463107178
,2007-06-01,23.6309702973188,162.95068388771864,139.31971359039983
2007-08,2007-09-01,20.391446554593426,163.70051508292744,143.30906852833402
,2007-12-01,20.391446554593426,153.72318919812943,133.33174264353602
,2008-03-01,20.169800396391324,153.1422258206705,132.97242542427915
,2008-06-01,20.16980039639132,159.68538248017614,139.51558208378484
2008-09,2008-09-01,19.85667448902547,164.67973772252847,144.823063233503
,2008-12-01,19.856674489025472,155.67801460162212,135.82134011259666
,2009-03-01,19.42500765230751,151.44005856885389,132.0150509165464
,2009-06-01,19.640841070666493,159.10874155846207,139.4679004877956
2009-10,2009-09-01,16.675917984968713,157.877308324617,141.20139033964827
,2009-12-01,16.675917984968713,149.91118713596202,133.2352691509933
,2010-03-01,16.31339802877374,149.47556591756162,133.16216788878788
,2010-06-01,16.49465800687124,156.06858663510698,139.57392862823573
2010-11,2010-09-01,11.348740889159057,154.12542230239728,142.77668141323824
,2010-12-01,11.348740889159052,146.2331772179533,134.88443632879427
,2011-03-01,11.102029130699076,143.73239167554146,132.6303625448424
,2011-06-01,11.225385009929065,149.94120885399803,138.71582384406898
2011-12,2011-09-01,6.729547036878035,150.29788615639077,143.56833911951273
,2011-12-01,6.729547036878032,142.8625646170458,136.13301758016775
,2012-03-01,6.656399786477182,141.0502388415904,134.39383905511323
,2012-06-01,6.65639978647718,144.8667567157257,138.21035692924852
2012-13,2012-09-01,4.361221398311186,143.30960162394362,138.94838022563243
,2012-12-01,4.361221398311186,139.2657149683779,134.9044935700667
,2013-03-01,4.26641223747834,136.33104973963677,132.06463750215843
,2013-06-01,4.313816817894766,142.1949902494305,137.88117343153573
2013-14,2013-09-01,5.133356228557736,141.01588717594672,135.88253094738897
,2013-12-01,5.133356228557736,138.5900500332916,133.45669380473385
,2014-03-01,5.021761527936918,137.4252851690968,132.4035236411599
,2014-06-01,5.077558878247327,138.7862425985051,133.7086837202578
2014-15,2014-09-01,-0.8367248872703519,139.1388373653968,139.97556225266715
,2014-12-01,-0.8367248872703527,133.52331488550288,134.36003977277323
,2015-03-01,-0.8185352158079529,131.66944197878,132.48797719458793
,2015-06-01,-0.8276300515391517,136.58057168238005,137.4082017339192
2015-16,2015-09-01,-10.022425261462352,131.02422572633597,141.04665098779833
,2015-12-01,-10.022425261462352,127.8349546266906,137.85737988815296
,2016-03-01,-9.913485856446458,126.23541437576068,136.14890023220715
,2016-06-01,-9.913485856446457,127.38838771797413,137.3018735744206
2016-17,2016-09-01,-12.545162958813007,128.47156302853728,141.01672598735027
,2016-12-01,-12.54516295881301,124.65754942043962,137.20271237925263
,2017-03-01,-12.272442024925772,126.32130470962524,138.59374673455102
,2017-06-01,-12.408802491869382,130.35908104583507,142.76788353770445
2017-18,2017-09-01,-11.746019997344058,131.23760648661897,142.98362648396304
,2017-12-01,-11.746019997344058,127.50046865683952,139.24648865418357
,2018-03-01,-11.490671736532237,125.64880984058672,137.13948157711897
,2018-06-01,-11.618345866938148,129.83951390110292,141.45785976804106
2018-19,2018-09-01,-12.44845054037825,129.771844767971,142.22029530834925
,2018-12-01,-12.448450540378248,125.3630024921695,137.81145303254775
,2019-03-01,-12.177832050370029,123.3245620020615,135.50239405243153
,2019-06-01,-12.313141295374146,127.39765124891936,139.7107925442935
2019-20,2019-09-01,-10.684758566570626,128.2274173401716,138.91217590674222
,2019-12-01,-10.684758566570626,124.64835648691766,135.33311505348829
,2020-03-01,-10.568619886499205,122.72192950168464,133.29054938818385
,2020-06-01,-10.5686198864992,118.62283643851222,129.19145632501142
2020-21,2020-09-01,-16.096466747944458,117.53076874729996,133.6272354952444
,2020-12-01,-16.096466747944458,113.7471487480624,129.84361549600686
,2021-03-01,-15.746543557771762,113.41061379433168,129.15715735210344
,2021-06-01,-15.921505152858108,120.07988948578578,136.0013946386439
2021-22,2021-09-01,-16.09646674794446,118.22427821113952,134.32074495908398
,2021-12-01,-16.096466747944458,114.12099039265672,130.21745714060117
,2022-03-01,-15.74654355777176,112.68158195306708,128.42812551083884
,2022-06-01,-15.921505152858106,117.5532238818635,133.4747290347216
2022-23,2022-09-01,-16.09646674794446,120.1730614813544,136.26952822929886
,2022-12-01,-16.096466747944458,113.44285967776126,129.53932642570572
,2023-03-01,-15.74654355777176,112.97226640676875,128.71880996454053
