Quarter,Total excluding LULUCF
2004-03-01,131.1
2004-06-01,132.1
2004-09-01,136.4
2004-12-01,133.3
2005-03-01,130.2
2005-06-01,133.5
2005-09-01,136.4
2005-12-01,134.8
2006-03-01,132.6
2006-06-01,136.1
2006-09-01,138.5
2006-12-01,137.9
2007-03-01,135.2
2007-06-01,136.0
2007-09-01,142.2
2007-12-01,137.5
2008-03-01,136.4
2008-06-01,137.7
2008-09-01,143.0
2008-12-01,139.5
2009-03-01,132.5
2009-06-01,135.5
2009-09-01,137.1
2009-12-01,137.4
2010-03-01,136.3
2010-06-01,136.4
2010-09-01,141.0
2010-12-01,136.7
2011-03-01,135.1
2011-06-01,137.8
2011-09-01,141.2
2011-12-01,138.2
2012-03-01,136.0
2012-06-01,136.6
2012-09-01,139.0
2012-12-01,137.6
2013-03-01,134.4
2013-06-01,136.2
2013-09-01,135.9
2013-12-01,134.8
2014-03-01,135.0
