Year,Quarter,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF,Total excluding LULUCF
2001-02,2001-09-01,17.4993129227093,148.11557252986694,130.61625960715764
,2001-12-01,17.4993129227093,144.64944411791774,127.15013119520844
,2002-03-01,17.118893076563445,141.98414830575587,124.86525522919243
,2002-06-01,17.309102999636377,146.01265489906876,128.7035518994324
2002-03,2002-09-01,20.516734524001787,151.85168869806483,131.33495417406306
,2002-12-01,20.516734524001787,149.3248869130004,128.80815238899862
,2003-03-01,20.0707185560887,144.9628639896456,124.89214543355689
,2003-06-01,20.29372654004524,148.13495874572737,127.84123220568213
2003-04,2003-09-01,16.64949562928657,150.69280670774089,134.0433110784543
,2003-12-01,16.64949562928657,148.39698708370048,131.7474914544139
,2004-03-01,16.468522850707362,148.19326875881592,131.72474590810856
,2004-06-01,16.468522850707362,148.99448209256246,132.5259592418551
2004-05,2004-09-01,22.52898455629457,159.81191278390753,137.28292822761296
,2004-12-01,22.52898455629457,156.8415170390782,134.31253248278364
,2005-03-01,22.03922402246208,153.20621481958625,131.16699079712419
,2005-06-01,22.284104289378327,156.61942224486117,134.33531795548285
2005-06,2005-09-01,21.72170301279968,158.43542809501213,136.71372508221245
,2005-12-01,21.72170301279968,156.78839027305577,135.0666872602561
,2006-03-01,21.24949207773881,154.14431230536118,132.89482022762238
,2006-06-01,21.485597545269243,157.71429758167886,136.22870003640963
2006-07,2006-09-01,25.09411528953717,163.4981306876821,138.40401539814494
,2006-12-01,25.09411528953717,162.7701353746803,137.67602008514314
,2007-03-01,24.548591044112445,159.5691065082408,135.02051546412835
,2007-06-01,24.82135316682481,160.6504363562089,135.82908318938408
2007-08,2007-09-01,20.7939586125358,161.8555127775281,141.06155416499232
,2007-12-01,20.7939586125358,157.02290548227072,136.22894686973493
,2008-03-01,20.5679373232691,155.910896438726,135.34295911545692
,2008-06-01,20.5679373232691,157.13377715596826,136.56583983269917
2008-09,2008-09-01,20.16318265643156,163.58434602766005,143.4211633712285
,2008-12-01,20.16318265643156,159.94581987857285,139.7826372221413
,2009-03-01,19.72485259868305,152.88970658625016,133.1648539875671
,2009-06-01,19.944017627557308,155.77366415002436,135.82964652246704
2009-10,2009-09-01,16.71643314281302,154.5658349596854,137.84940181687236
,2009-12-01,16.71643314281302,154.69276078516253,137.9763276423495
,2010-03-01,16.353032422317085,152.46304855873754,136.11001613642046
,2010-06-01,16.534732782565055,151.6955420423428,135.16080925977775
2010-11,2010-09-01,9.356967066106202,151.09233535248683,141.73536828638063
,2010-12-01,9.356967066106202,145.18752352645214,135.83055646034595
,2011-03-01,9.153554738582152,142.97834206799817,133.824787329416
,2011-06-01,9.255260902344178,146.54482889825422,137.28956799591003
2011-12,2011-09-01,5.619849277685782,146.94805027698814,141.32820099930237
,2011-12-01,5.619849277685782,141.95468113595993,136.33483185827416
,2012-03-01,5.558763959450067,141.00043749303518,135.44167353358512
,2012-06-01,5.558763959450067,143.3823282983484,137.82356433889834
2012-13,2012-09-01,4.684262206229254,142.5470516358507,137.86278942962144
,2012-12-01,4.684262206229254,140.8786311171902,136.19436891096095
,2013-03-01,4.582430419137313,137.65568453032026,133.07325411118293
,2013-06-01,4.633346312683283,139.4898018635373,134.85645555085404
2013-14,2013-09-01,3.177333414699393,138.27166574678154,135.09433233208213
,2013-12-01,3.177333414699393,136.35043222226062,133.17309880756122
,2014-03-01,3.108260949162449,136.86114458236366,133.7528836332012
,2014-06-01,3.1427971819309213,137.42259697926818,134.27979979733726
2014-15,2014-09-01,0.5060221019800731,140.46015333343783,139.95413123145775
,2014-12-01,0.5060221019800731,135.8679136271366,135.36189152515652
,2015-03-01,0.4950216215022454,134.36978695637472,133.87476533487248
,2015-06-01,0.5005218617411593,137.865789724065,137.36526786232383
2015-16,2015-09-01,-5.516855028491017,133.34024190606604,138.85709693455706
,2015-12-01,-5.516855028491017,131.26308308647182,136.77993811496285
,2016-03-01,-5.45688921296394,134.3529113098616,139.80980052282555
,2016-06-01,-5.45688921296394,132.90979853619652,138.36668774916046
2016-17,2016-09-01,-8.154413601955431,135.31859963181645,143.4730132337719
,2016-12-01,-8.154413601955431,129.7839178024898,137.93833140444525
,2017-03-01,-7.977143741043356,129.80584207749965,137.782985818543
,2017-06-01,-8.065778671499395,132.35080365520182,140.41658232670122
2017-18,2017-09-01,-5.351673657477576,137.80750148399272,143.1591751414703
,2017-12-01,-5.351673657477576,133.8907359122178,139.24240956969538
,2018-03-01,-5.23533292579328,132.65348882875418,137.88882175454745
,2018-06-01,-5.293503291635428,135.796845064299,141.09034835593442
2018-19,2018-09-01,-6.317381012466333,135.75388736214867,142.07126837461502
,2018-12-01,-6.317381012466333,131.32784316210626,137.6452241745726
,2019-03-01,-6.180046642630108,129.72911788084565,135.90916452347577
,2019-06-01,-6.2487138275482215,134.0809319014156,140.3296457289638
2019-20,2019-09-01,-6.179136827689905,131.43357141633803,137.61270824402794
,2019-12-01,-6.179136827689905,128.6125989942235,134.79173582191342
,2020-03-01,-6.1119722969541455,127.7054597433791,133.81743204033324
,2020-06-01,-6.1119722969541455,121.99740220528432,128.10937450223847
2020-21,2020-09-01,-6.157514270945433,124.78792788788957,130.945442158835
,2020-12-01,-6.157514270945433,122.70420341501162,128.86171768595705
,2021-03-01,-6.023655265055314,123.37855069839615,129.40220596345148
,2021-06-01,-6.090584768000373,128.03119171063088,134.12177647863126
