Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,125.9,14.1,140.0
,2001-12-01,122.6,14.1,136.7
,2002-03-01,120.5,19.4,139.9
,2002-06-01,124.30000000000001,19.6,143.9
2002-03,2002-09-01,126.3,19.8,146.1
,2002-12-01,123.89999999999999,19.8,143.7
,2003-03-01,120.00000000000001,14.8,134.8
,2003-06-01,122.6,15.0,137.6
2003-04,2003-09-01,129.0,15.1,144.1
,2003-12-01,126.70000000000002,15.1,141.8
,2004-03-01,126.69999999999999,15.0,141.7
,2004-06-01,127.5,15.0,142.5
2004-05,2004-09-01,132.20000000000002,15.2,147.4
,2004-12-01,129.20000000000002,15.2,144.4
,2005-03-01,126.30000000000001,20.6,146.9
,2005-06-01,129.4,20.9,150.3
2005-06,2005-09-01,131.70000000000002,21.1,152.8
,2005-12-01,130.0,21.1,151.1
,2006-03-01,128.1,22.5,150.6
,2006-06-01,131.4,22.7,154.1
2006-07,2006-09-01,133.7,23.0,156.7
,2006-12-01,133.0,23.0,156.0
,2007-03-01,130.5,13.3,143.8
,2007-06-01,131.1,13.4,144.5
2007-08,2007-09-01,136.6,13.5,150.1
,2007-12-01,132.0,13.5,145.5
,2008-03-01,131.1,13.1,144.2
,2008-06-01,132.3,13.1,145.4
2008-09,2008-09-01,139.5,13.3,152.8
,2008-12-01,135.79999999999998,13.3,149.1
,2009-03-01,129.29999999999998,13.9,143.2
,2009-06-01,131.8,14.1,145.9
2009-10,2009-09-01,133.70000000000002,14.2,147.9
,2009-12-01,133.8,14.2,148.0
,2010-03-01,132.79999999999998,5.8,138.6
,2010-06-01,132.6,5.9,138.5
2010-11,2010-09-01,136.5,5.9,142.4
,2010-12-01,132.5,5.9,138.4
,2011-03-01,131.0,1.5,132.5
,2011-06-01,133.6,1.5,135.1
2011-12,2011-09-01,137.5,1.5,139.0
,2011-12-01,134.4,1.5,135.9
,2012-03-01,132.3,3.6,135.9
,2012-06-01,132.70000000000002,3.6,136.3
2012-13,2012-09-01,133.6,3.6,137.2
,2012-12-01,132.3,3.6,135.9
,2013-03-01,129.4,1.9,131.3
,2013-06-01,131.1,1.9,133.0
2013-14,2013-09-01,131.3,2.0,133.3
,2013-12-01,130.7,2.0,132.7
,2014-03-01,130.4,0.5,130.9
,2014-06-01,129.5,0.5,130.0
2014-15,2014-09-01,135.2,0.5,135.7
,2014-12-01,132.8,0.5,133.3
,2015-03-01,130.5,0.5,131.0
,2015-06-01,131.9,0.5,132.4
2015-16,2015-09-01,135.6,0.5,136.1
,2015-12-01,133.8,0.5,134.3
,2016-03-01,133.1,0.4,133.5
,2016-06-01,132.2,0.4,132.6
