Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,126.19999999999999,19.5,145.7
,2001-12-01,123.30000000000001,19.5,142.8
,2002-03-01,121.6,19.1,140.7
,2002-06-01,125.10000000000001,19.3,144.4
2002-03,2002-09-01,126.9,17.0,143.9
,2002-12-01,125.1,17.0,142.1
,2003-03-01,121.4,16.6,138.0
,2003-06-01,123.8,16.8,140.6
2003-04,2003-09-01,129.7,16.3,146.0
,2003-12-01,128.1,16.3,144.4
,2004-03-01,128.4,16.1,144.5
,2004-06-01,128.70000000000002,16.1,144.8
2004-05,2004-09-01,133.0,21.1,154.1
,2004-12-01,130.1,21.1,151.2
,2005-03-01,127.6,20.6,148.2
,2005-06-01,130.29999999999998,20.9,151.2
2005-06,2005-09-01,132.5,21.8,154.3
,2005-12-01,131.1,21.8,152.9
,2006-03-01,129.5,21.3,150.8
,2006-06-01,132.0,21.5,153.5
2006-07,2006-09-01,134.4,18.4,152.8
,2006-12-01,133.9,18.4,152.3
,2007-03-01,131.8,18.0,149.8
,2007-06-01,131.9,18.2,150.1
2007-08,2007-09-01,137.29999999999998,13.8,151.1
,2007-12-01,133.0,13.8,146.8
,2008-03-01,132.5,13.7,146.2
,2008-06-01,133.5,13.7,147.2
2008-09,2008-09-01,140.9,13.1,154.0
,2008-12-01,136.9,13.1,150.0
,2009-03-01,130.39999999999998,12.8,143.2
,2009-06-01,132.2,13.0,145.2
2009-10,2009-09-01,135.10000000000002,6.7,141.8
,2009-12-01,135.20000000000002,6.7,141.9
,2010-03-01,133.4,6.6,140.0
,2010-06-01,133.4,6.6,140.0
2010-11,2010-09-01,137.9,4.5,142.4
,2010-12-01,133.8,4.5,138.3
,2011-03-01,131.9,4.4,136.3
,2011-06-01,134.6,4.4,139.0
2011-12,2011-09-01,138.8,1.6,140.4
,2011-12-01,135.6,1.6,137.2
,2012-03-01,133.20000000000002,1.6,134.8
,2012-06-01,133.70000000000002,1.6,135.3
2012-13,2012-09-01,134.8,-0.5,134.3
,2012-12-01,133.6,-0.5,133.1
,2013-03-01,130.7,-0.5,130.2
,2013-06-01,132.3,-0.5,131.8
2013-14,2013-09-01,132.4,1.2,133.6
,2013-12-01,131.5,1.2,132.7
,2014-03-01,131.20000000000002,1.2,132.4
,2014-06-01,130.70000000000002,1.2,131.9
2014-15,2014-09-01,135.8,1.2,137.0
,2014-12-01,133.3,1.2,134.5
,2015-03-01,131.3,1.1,132.4
,2015-06-01,133.0,1.1,134.1
2015-16,2015-09-01,138.5,-0.8,137.7
,2015-12-01,136.9,-0.8,136.1
,2016-03-01,135.9,-0.8,135.1
,2016-06-01,134.8,-0.8,134.0
2016-17,2016-09-01,139.8,0.1,139.9
,2016-12-01,136.20000000000002,0.1,136.3
,2017-03-01,137.70000000000002,0.1,137.8
,2017-06-01,136.1,0.1,136.2
