Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,126.69999999999999,19.5,146.2
,2001-12-01,123.30000000000001,19.5,142.8
,2002-03-01,121.20000000000002,19.1,140.3
,2002-06-01,125.00000000000001,19.3,144.3
2002-03,2002-09-01,127.5,17.0,144.5
,2002-12-01,125.0,17.0,142.0
,2003-03-01,121.20000000000002,16.6,137.8
,2003-06-01,123.8,16.8,140.6
2003-04,2003-09-01,130.29999999999998,16.3,146.6
,2003-12-01,127.89999999999999,16.3,144.2
,2004-03-01,127.9,16.1,144.0
,2004-06-01,128.70000000000002,16.1,144.8
2004-05,2004-09-01,133.3,21.1,154.4
,2004-12-01,130.20000000000002,21.1,151.3
,2005-03-01,127.30000000000001,20.6,147.9
,2005-06-01,130.5,20.9,151.4
2005-06,2005-09-01,132.7,21.8,154.5
,2005-12-01,130.89999999999998,21.8,152.7
,2006-03-01,129.1,21.3,150.4
,2006-06-01,132.4,21.5,153.9
2006-07,2006-09-01,134.79999999999998,18.4,153.2
,2006-12-01,134.1,18.4,152.5
,2007-03-01,131.6,18.0,149.6
,2007-06-01,132.20000000000002,18.2,150.4
2007-08,2007-09-01,137.7,13.8,151.5
,2007-12-01,133.0,13.8,146.8
,2008-03-01,132.10000000000002,13.7,145.8
,2008-06-01,133.3,13.7,147.0
2008-09,2008-09-01,140.6,13.1,153.7
,2008-12-01,136.8,13.1,149.9
,2009-03-01,130.2,12.8,143.0
,2009-06-01,132.8,13.0,145.8
2009-10,2009-09-01,134.70000000000002,6.7,141.4
,2009-12-01,134.9,6.7,141.6
,2010-03-01,133.9,6.6,140.5
,2010-06-01,133.70000000000002,6.6,140.3
2010-11,2010-09-01,137.8,4.5,142.3
,2010-12-01,133.7,4.5,138.2
,2011-03-01,132.1,4.4,136.5
,2011-06-01,134.9,4.4,139.3
2011-12,2011-09-01,138.6,1.6,140.2
,2011-12-01,135.5,1.6,137.1
,2012-03-01,133.4,1.6,135.0
,2012-06-01,133.8,1.6,135.4
2012-13,2012-09-01,134.9,-0.5,134.4
,2012-12-01,133.6,-0.5,133.1
,2013-03-01,130.6,-0.5,130.1
,2013-06-01,132.3,-0.5,131.8
2013-14,2013-09-01,132.4,1.2,133.6
,2013-12-01,131.8,1.2,133.0
,2014-03-01,131.3,1.2,132.5
,2014-06-01,130.5,1.2,131.7
2014-15,2014-09-01,135.60000000000002,1.2,136.8
,2014-12-01,133.5,1.2,134.7
,2015-03-01,131.5,1.1,132.6
,2015-06-01,132.6,1.1,133.7
2015-16,2015-09-01,137.8,-0.8,137.0
,2015-12-01,135.4,-0.8,134.6
,2016-03-01,134.6,-0.7,133.9
,2016-06-01,133.79999999999998,-0.7,133.1
2016-17,2016-09-01,138.8,0.2,139.0
,2016-12-01,137.10000000000002,0.2,137.3
