Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,130.31832954929862,18.00081668222368,148.3191462315223
,2001-12-01,126.83181900329237,18.00081668222368,144.83263568551604
,2002-03-01,124.56486441705641,17.609494580436202,142.17435899749262
,2002-06-01,128.44418658188846,17.805155631329942,146.2493422132184
2002-03,2002-09-01,130.87164920607415,21.15427758481634,152.02592679089048
,2002-12-01,128.31131645160576,21.15427758481634,149.4655940364221
,2003-03-01,124.46552605356842,20.694401985146417,145.15992803871484
,2003-06-01,127.28659821621258,20.924339784981377,148.21093800119397
2003-04,2003-09-01,133.53087486587904,17.734885681217758,151.2657605470968
,2003-12-01,131.239233032518,17.734885681217758,148.97411871373575
,2004-03-01,131.20997217487823,17.542115184682782,148.75208735956102
,2004-06-01,132.00871471283634,17.542115184682782,149.55082989751912
2004-05,2004-09-01,136.81199016217985,24.0147768179341,160.82676698011394
,2004-12-01,133.7422895542749,24.0147768179341,157.75706637220898
,2005-03-01,130.55535608005292,23.492716452326835,154.04807253237976
,2005-06-01,133.72550127104705,23.75374663513047,157.47924790617753
2005-06,2005-09-01,136.38301281276665,22.82226403780472,159.20527685057138
,2005-12-01,134.6014043313199,22.82226403780472,157.42366836912464
,2006-03-01,132.42988793876833,22.32612786306984,154.75601580183817
,2006-06-01,135.7945728413354,22.57419595043728,158.36876879177268
2006-07,2006-09-01,137.91879207646784,26.696896993920905,164.61568907038875
,2006-12-01,137.22604388611987,26.696896993920905,163.92294088004078
,2007-03-01,134.5919457966777,26.116529667966105,160.7084754646438
,2007-06-01,135.44602485744844,26.4067133309435,161.85273818839192
2007-08,2007-09-01,140.76009306315538,22.345419292345525,163.1055123555009
,2007-12-01,135.85419195278973,22.345419292345525,158.19961124513526
,2008-03-01,134.96080552050876,22.10253430003742,157.06333982054616
,2008-06-01,136.1888292044825,22.10253430003742,158.2913635045199
2008-09,2008-09-01,143.14370928639113,20.30251042729926,163.4462197136904
,2008-12-01,139.33518917167055,20.30251042729926,159.63769959896982
,2009-03-01,132.64585500560577,19.861151504966667,152.50700651057244
,2009-06-01,135.41201414236124,20.08183096613297,155.4938451084942
2009-10,2009-09-01,137.26326598703795,15.432190190554689,152.69545617759263
,2009-12-01,137.38106173988407,15.432190190554689,152.81325193043875
,2010-03-01,135.59094772098356,15.096707795107848,150.6876555160914
,2010-06-01,135.31756572938954,15.264448992831268,150.5820147222208
2010-11,2010-09-01,141.15677110627294,8.686000967848749,149.84277207412168
,2010-12-01,135.5152438428763,8.686000967848749,144.20124481072503
,2011-03-01,133.6100100657516,8.497174859852036,142.10718492560363
,2011-06-01,136.99350021839172,8.591587913850393,145.5850881322421
2011-12,2011-09-01,140.85170909210584,4.6211871965685125,145.47289628867435
,2011-12-01,135.98841191592516,4.6211871965685125,140.60959911249367
,2012-03-01,135.1542966235073,4.570956900953636,139.72525352446092
,2012-06-01,137.55821294742324,4.570956900953636,142.12916984837688
2012-13,2012-09-01,137.4034549552688,4.005798640088952,141.40925359535777
,2012-12-01,135.80875014703528,4.005798640088952,139.81454878712424
,2013-03-01,132.79314482747938,3.918716060956583,136.71186088843595
,2013-06-01,134.48742977246687,3.962257350522767,138.44968712298964
2013-14,2013-09-01,134.65897168517276,4.220328586434133,138.8793002716069
,2013-12-01,132.85310249123702,4.220328586434133,137.07343107767116
,2014-03-01,133.41889430693303,4.128582312816,137.54747661974903
,2014-06-01,134.0286268510027,4.174455449625066,138.20308230062778
2014-15,2014-09-01,138.95036012315185,2.4145210721969863,141.36488119534883
,2014-12-01,134.47015883333088,2.4145210721969863,136.88467990552786
,2015-03-01,133.0446799445324,2.3620314836709646,135.40671142820335
,2015-06-01,136.3801943588689,2.3882762779339752,138.76847063680287
2015-16,2015-09-01,138.53158749913706,-3.854765483663732,134.67682201547333
,2015-12-01,136.21938267708842,-3.854765483663732,132.3646171934247
,2016-03-01,139.29924104440627,-3.8128658588413,135.48637518556498
,2016-06-01,137.94767624802887,-3.8128658588413,134.13481038918758
2016-17,2016-09-01,143.25758376926112,-6.774737876176959,136.48284589308415
,2016-12-01,137.8147476630304,-6.774737876176959,131.04000978685343
,2017-03-01,137.61246562648444,-6.627460965825285,130.98500466065914
,2017-06-01,140.371581837677,-6.701099421001122,133.6704824166759
2017-18,2017-09-01,142.8027200429703,-4.088541160305851,138.71417888266444
,2017-12-01,138.88446222295232,-4.088541160305851,134.79592106264647
,2018-03-01,137.37038192604487,-3.999659830733984,133.3707220953109
,2018-06-01,140.39980316894952,-4.044100495519918,136.3557026734296
2018-19,2018-09-01,141.34319626681446,-5.003769929136039,136.33942633767842
,2018-12-01,137.42058575968906,-5.003769929136039,132.41681583055302
,2019-03-01,135.4471802845493,-4.894992321980908,130.55218796256838
,2019-06-01,140.0161962044518,-4.949381125558474,135.06681507889334
2019-20,2019-09-01,140.04351677413857,-4.721789930326574,135.321726843812
,2019-12-01,134.30686986372942,-4.721789930326574,129.58507993340285
,2020-03-01,131.91800763812174,-4.670466126736067,127.24754151138566
,2020-06-01,129.5440477726461,-4.670466126736067,124.87358164591004
2020-21,2020-09-01,133.0927538578756,-4.696174642356447,128.39657921551915
