Year,Quarter,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF,Total excluding LULUCF
2001-02,2001-09-01,17.4993129227093,148.3583769473215,130.8590640246122
,2001-12-01,17.4993129227093,144.89964918618267,127.40033626347338
,2002-03-01,17.118893076563445,142.22999984507382,125.11110676851038
,2002-06-01,17.309102999636377,146.2532725408549,128.94416954121854
2002-03,2002-09-01,20.516734524001787,151.5431673356995,131.02643281169773
,2002-12-01,20.516734524001787,149.02632388078885,128.50958935678707
,2003-03-01,20.0707185560887,144.6777270574017,124.607008501313
,2003-06-01,20.29372654004524,147.84700079968218,127.55327425963694
2003-04,2003-09-01,16.64949562928657,150.40677505329498,133.7572794240084
,2003-12-01,16.64949562928657,148.1207360726044,131.4712404433178
,2004-03-01,16.468522850707362,147.91301107415558,131.44448822344822
,2004-06-01,16.468522850707362,148.71661225804476,132.2480894073374
2004-05,2004-09-01,22.52898455629457,159.45391158229236,136.9249270259978
,2004-12-01,22.52898455629457,156.4834159744401,133.95443141814553
,2005-03-01,22.03922402246208,152.86388140351767,130.8246573810556
,2005-06-01,22.284104289378327,156.2621220147748,133.97801772539648
2005-06,2005-09-01,21.72170301279968,158.24445522170942,136.52275220890974
,2005-12-01,21.72170301279968,156.5869366569467,134.86523364414703
,2006-03-01,21.24949207773881,153.94877958031773,132.69928750257893
,2006-06-01,21.485597545269243,157.5061509674565,136.02055342218728
2006-07,2006-09-01,25.09411528953717,163.47964493071416,138.385529641177
,2006-12-01,25.09411528953717,162.73795917840235,137.64384388886518
,2007-03-01,24.548591044112445,159.5316353822824,134.98304433816995
,2007-06-01,24.82135316682481,160.62399768054468,135.80264451371986
2007-08,2007-09-01,20.7939586125358,161.88104802440907,141.08708941187328
,2007-12-01,20.7939586125358,157.03246636263594,136.23850775010015
,2008-03-01,20.5679373232691,155.9103002609257,135.34236293765662
,2008-06-01,20.5679373232691,157.1299561348125,136.5620188115434
2008-09,2008-09-01,20.16318265643156,163.49922219500743,143.33603953857587
,2008-12-01,20.16318265643156,159.86497014062746,139.7017874841959
,2009-03-01,19.72485259868305,152.82142519333448,133.09657259465143
,2009-06-01,19.944017627557308,155.70855980939157,135.76454218183426
2009-10,2009-09-01,16.71643314281302,154.57121281852773,137.8547796757147
,2009-12-01,16.71643314281302,154.6852504275982,137.96881728478516
,2010-03-01,16.353032422317085,152.46685266326912,136.11382024095204
,2010-06-01,16.534732782565055,151.69004682437588,135.15531404181084
2010-11,2010-09-01,9.356967066106202,151.12611725510283,141.76915018899663
,2010-12-01,9.356967066106202,145.18239423765402,135.82542717154783
,2011-03-01,9.153554738582152,142.97245833840165,133.8189035998195
,2011-06-01,9.255260902344178,146.580676898431,137.3254159960868
2011-12,2011-09-01,5.619849277685782,147.2281287166441,141.60827943895833
,2011-12-01,5.619849277685782,142.2228833555199,136.60303407783414
,2012-03-01,5.558763959450067,141.25439789679376,135.6956339373437
,2012-06-01,5.558763959450067,143.6623131701798,138.10354921072974
2012-13,2012-09-01,4.684262206229254,142.6895871601924,138.00532495396314
,2012-12-01,4.684262206229254,141.00847492321444,136.3242127169852
,2013-03-01,4.582430419137313,137.77038202768932,133.187951608552
,2013-06-01,4.633346312683283,139.62903198361204,134.99568567092876
2013-14,2013-09-01,3.177333414699393,138.37431282684005,135.19697941214065
,2013-12-01,3.177333414699393,136.4437161006075,133.2663826859081
,2014-03-01,3.108260949162449,136.96045138027506,133.8521904311126
,2014-06-01,3.1427971819309213,137.53649395996018,134.39369677802927
2014-15,2014-09-01,0.5060221019800731,140.1037970948713,139.59777499289123
,2014-12-01,0.5060221019800731,135.47198620472153,134.96596410274145
,2015-03-01,0.4950216215022454,134.00535195672666,133.5103303352244
,2015-06-01,0.5005218617411593,137.45865740444827,136.9581355427071
2015-16,2015-09-01,-5.516855028491017,133.37927390074702,138.89612892923805
,2015-12-01,-5.516855028491017,131.29930170454696,136.81615673303799
,2016-03-01,-5.45688921296394,134.3991094726246,139.85599868558853
,2016-06-01,-5.45688921296394,132.96671741221834,138.4236066251823
2016-17,2016-09-01,-8.154413601955431,135.6561666251101,143.81058022706554
,2016-12-01,-8.154413601955431,130.11678615079072,138.27119975274616
,2017-03-01,-7.977143741043356,130.13242329296207,138.10956703400544
,2017-06-01,-8.065778671499395,132.69015497567474,140.75593364717415
2017-18,2017-09-01,-5.351673657477576,138.07900057831262,143.4306742357902
,2017-12-01,-5.351673657477576,134.1573059857834,139.508979643261
,2018-03-01,-5.23533292579328,132.9167855627244,138.1521184885177
,2018-06-01,-5.293503291635428,136.05977299816388,141.3532762897993
2018-19,2018-09-01,-6.317381012466333,135.66928843557648,141.98666944804282
,2018-12-01,-6.317381012466333,131.24438482392566,137.561765836392
,2019-03-01,-6.180046642630108,129.64431360496388,135.824360247594
,2019-06-01,-6.2487138275482215,133.99797205344134,140.24668588098956
2019-20,2019-09-01,-6.179136827689905,132.12200866473074,138.30114549242066
,2019-12-01,-6.179136827689905,129.29668119341068,135.4758180211006
,2020-03-01,-6.1119722969541455,128.3979196019275,134.50989189888165
,2020-06-01,-6.1119722969541455,122.67814994615844,128.7901222431126
2020-21,2020-09-01,-6.157514270945433,125.11955993552095,131.27707420646638
,2020-12-01,-6.157514270945433,122.87264977289276,129.0301640438382
,2021-03-01,-6.023655265055314,123.98677776592726,130.01043303098257
,2021-06-01,-6.090584768000373,128.34382221083936,134.43440697883975
2021-22,2021-09-01,-6.157514270945433,126.26188134608516,132.4193956170306
