Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,130.3183646895387,17.4993129227093,147.817677612248
,2001-12-01,126.83177681515471,17.4993129227093,144.331089737864
,2002-03-01,124.56478767974178,17.118893076563445,141.68368075630522
,2002-06-01,128.4442693188192,17.309102999636377,145.75337231845558
2002-03,2002-09-01,130.871653632447,20.516734524001787,151.38838815644877
,2002-12-01,128.31128197840292,20.516734524001787,148.8280165024047
,2003-03-01,124.46555942630397,20.0707185560887,144.53627798239268
,2003-06-01,127.28660580563385,20.29372654004524,147.5803323456791
2003-04,2003-09-01,133.53088957602432,16.64949562928657,150.1803852053109
,2003-12-01,131.23924808927777,16.64949562928657,147.88874371856434
,2004-03-01,131.20995038841843,16.468522850707362,147.6784732391258
,2004-06-01,132.00870140540013,16.468522850707362,148.4772242561075
2004-05,2004-09-01,136.8119972676746,22.52898455629457,159.34098182396917
,2004-12-01,133.74225368080764,22.52898455629457,156.2712382371022
,2005-03-01,130.55535189105547,22.03922402246208,152.59457591351753
,2005-06-01,133.7255293044193,22.284104289378327,156.00963359379762
2005-06,2005-09-01,136.24487652780905,21.72170301279968,157.96657954060873
,2005-12-01,134.47344199646008,21.72170301279968,156.19514500925976
,2006-03-01,132.3055102577956,21.24949207773881,153.5550023355344
,2006-06-01,135.66545178678666,21.485597545269243,157.1510493320559
2006-07,2006-09-01,137.91879208599448,25.09411528953717,163.01290737553165
,2006-12-01,137.2260189208731,25.09411528953717,162.32013421041026
,2007-03-01,134.59197058681346,24.548591044112445,159.1405616309259
,2007-06-01,135.446018396961,24.82135316682481,160.26737156378582
2007-08,2007-09-01,140.76002357483605,20.7939586125358,161.55398218737184
,2007-12-01,135.85430523152888,20.7939586125358,156.64826384406467
,2008-03-01,134.9607876313237,20.5679373232691,155.5287249545928
,2008-06-01,136.1888128959005,20.5679373232691,156.7567502191696
2008-09,2008-09-01,143.17881420998137,20.16318265643156,163.34199686641293
,2008-12-01,139.370309153776,20.16318265643156,159.53349181020755
,2009-03-01,132.6804005208015,19.72485259868305,152.40525311948454
,2009-06-01,135.4471205896418,19.944017627557308,155.3911382171991
2009-10,2009-09-01,137.26843704718536,16.71643314281302,153.9848701899984
,2009-12-01,137.38606420411608,16.71643314281302,154.1024973469291
,2010-03-01,135.59596933121531,16.353032422317085,151.9490017535324
,2010-06-01,135.32248354040823,16.534732782565055,151.85721632297327
2010-11,2010-09-01,141.15390415199155,9.356967066106202,150.51087121809775
,2010-12-01,135.51305018656444,9.356967066106202,144.87001725267064
,2011-03-01,133.6081519771229,9.153554738582152,142.76170671570506
,2011-06-01,136.99120070067076,9.255260902344178,146.24646160301495
2011-12,2011-09-01,140.8626088852306,5.619849277685782,146.48245816291637
,2011-12-01,135.99972506669303,5.619849277685782,141.6195743443788
,2012-03-01,135.16568803348565,5.558763959450067,140.7244519929357
,2012-06-01,137.56919663621724,5.558763959450067,143.1279605956673
2012-13,2012-09-01,137.40068243055939,4.684262206229254,142.08494463678863
,2012-12-01,135.80639707858157,4.684262206229254,140.49065928481082
,2013-03-01,132.79091263274668,4.582430419137313,137.373343051884
,2013-06-01,134.48499450145812,4.633346312683283,139.1183408141414
2013-14,2013-09-01,134.52141853140822,3.177333414699393,137.69875194610762
,2013-12-01,132.72524675543752,3.177333414699393,135.90258017013693
,2014-03-01,133.3043319899183,3.108260949162449,136.41259293908075
,2014-06-01,133.88546045392994,3.1427971819309213,137.02825763586085
2014-15,2014-09-01,138.94712040558957,0.5060221019800731,139.45314250756965
,2014-12-01,134.46772562374096,0.5060221019800731,134.97374772572104
,2015-03-01,133.04219947725412,0.4950216215022454,133.53722109875636
,2015-06-01,136.37699811054168,0.5005218617411593,136.87751997228284
2015-16,2015-09-01,138.5285271819252,-5.516855028491017,133.01167215343418
,2015-12-01,136.2166781227432,-5.516855028491017,130.69982309425217
,2016-03-01,139.29700516851744,-5.45688921296394,133.8401159555535
,2016-06-01,137.9452586800842,-5.45688921296394,132.48836946712026
2016-17,2016-09-01,143.25350280261767,-8.154413601955431,135.09908920066223
,2016-12-01,137.8119222116131,-8.154413601955431,129.65750860965767
,2017-03-01,137.60988089229824,-7.977143741043356,129.63273715125487
,2017-06-01,140.36777630142063,-8.065778671499395,132.30199762992123
2017-18,2017-09-01,142.7995403243267,-5.351673657477576,137.4478666668491
,2017-12-01,138.88178438331522,-5.351673657477576,133.53011072583763
,2018-03-01,137.36803032146105,-5.23533292579328,132.13269739566778
,2018-06-01,140.39701189387472,-5.293503291635428,135.1035086022393
2018-19,2018-09-01,141.32460920484237,-6.317381012466333,135.00722819237603
,2018-12-01,137.4034455453245,-6.317381012466333,131.08606453285816
,2019-03-01,135.43443894352666,-6.180046642630108,129.25439230089654
,2019-06-01,140.00250437658843,-6.2487138275482215,133.75379054904022
2019-20,2019-09-01,140.0380451708677,-6.179136827689905,133.85890834317777
,2019-12-01,134.42766845056246,-6.179136827689905,128.24853162287255
,2020-03-01,131.88366883054235,-6.1119722969541455,125.7716965335882
,2020-06-01,129.71330292800008,-6.1119722969541455,123.60133063104593
2020-21,2020-09-01,133.10042699706923,-6.157514270945433,126.9429127261238
,2020-12-01,128.85521971682132,-6.157514270945433,122.6977054458759
