Year,Quarter,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF,Total excluding LULUCF
2004-05,2004-09-01,20.341679848886518,158.73858114242643,138.3969012935399
,2004-12-01,20.341679848886518,151.16309835128914,130.82141850240262
,2005-03-01,19.899469417388968,149.88802303751157,129.98855362012262
,2005-06-01,20.120574633137743,156.50345417612,136.38287954298224
2005-06,2005-09-01,21.871474579870423,161.81420648900928,139.94273190913884
,2005-12-01,21.871474579870423,153.80260615138857,131.93113157151816
,2006-03-01,21.3960077411776,152.03330296727052,130.63729522609293
,2006-06-01,21.633741160524032,159.1403615295991,137.50662036907505
2006-07,2006-09-01,23.89065128959704,165.60119108021993,141.7105397906229
,2006-12-01,23.89065128959704,157.4603457426513,133.56969445305427
,2007-03-01,23.37128930504057,155.5108539361123,132.13956463107175
,2007-06-01,23.630970297318804,162.95068388771867,139.31971359039986
2007-08,2007-09-01,20.39144655459341,163.70051508292744,143.30906852833402
,2007-12-01,20.39144655459341,153.7231891981294,133.331742643536
,2008-03-01,20.16980039639129,153.14222582067043,132.97242542427915
,2008-06-01,20.169800396391288,159.68538248017612,139.51558208378484
2008-09,2008-09-01,19.85667448902545,164.6797377225285,144.82306323350304
,2008-12-01,19.856674489025465,155.67801460162212,135.82134011259666
,2009-03-01,19.4250076523075,151.44005856885386,132.01505091654636
,2009-06-01,19.64084107066648,159.1087415584621,139.46790048779562
2009-10,2009-09-01,16.675917984968724,157.877308324617,141.20139033964827
,2009-12-01,16.675917984968724,149.91118713596202,133.2352691509933
,2010-03-01,16.31339802877375,149.47556591756162,133.16216788878788
,2010-06-01,16.494658006871244,156.06858663510698,139.57392862823573
2010-11,2010-09-01,11.348740889159046,154.12542230239728,142.77668141323824
,2010-12-01,11.348740889159048,146.2331772179533,134.88443632879427
,2011-03-01,11.10202913069906,143.73239167554146,132.6303625448424
,2011-06-01,11.22538500992905,149.94120885399806,138.715823844069
2011-12,2011-09-01,6.729547036878062,150.29827951675793,143.56873247987986
,2011-12-01,6.729547036878062,142.86224968768244,136.13270265080436
,2012-03-01,6.656399786477215,141.05049541349666,134.39409562701945
,2012-06-01,6.656399786477212,144.86642171281574,138.21002192633853
2012-13,2012-09-01,4.361221398311189,143.3093511134873,138.94812971517612
,2012-12-01,4.361221398311189,139.26546396937792,134.90424257106673
,2013-03-01,4.266412237478342,136.33104097753747,132.06462874005913
,2013-06-01,4.3138168178947645,142.19550052098612,137.88168370309134
2013-14,2013-09-01,5.133356228557744,141.02160593556363,135.88824970700588
,2013-12-01,5.133356228557744,138.5800499330791,133.44669370452135
,2014-03-01,5.021761527936926,137.42285430361864,132.40109277568172
,2014-06-01,5.077558878247335,138.79295480457884,133.7153959263315
2014-15,2014-09-01,-0.8367248872703624,139.13174861008463,139.96847349735498
,2014-12-01,-0.8367248872703622,133.5235681090466,134.36029299631696
,2015-03-01,-0.8185352158079577,131.67175096709127,132.49028618289924
,2015-06-01,-0.8276300515391615,136.5850982258372,137.41272827737637
2015-16,2015-09-01,-10.022425261462349,131.02182867178763,141.04425393325
,2015-12-01,-10.022425261462349,127.83477782205766,137.85720308352
,2016-03-01,-9.913485856446457,126.23479279379144,136.1482786502379
,2016-06-01,-9.913485856446457,127.39158315912466,137.30506901557112
2016-17,2016-09-01,-12.54516295881301,128.45577108297252,141.00093404178554
,2016-12-01,-12.54516295881301,124.63864843618536,137.18381139499837
,2017-03-01,-12.272442024925777,126.32288244169648,138.59532446662226
,2017-06-01,-12.40880249186939,130.39219624358282,142.8009987354522
2017-18,2017-09-01,-11.746019997344067,131.23088292814967,142.97690292549373
,2017-12-01,-11.746019997344067,127.50260231119528,139.24862230853935
,2018-03-01,-11.490671736532246,125.6530214155525,137.14369315208475
,2018-06-01,-11.618345866938157,129.8398922302506,141.45823809718877
2018-19,2018-09-01,-12.448450540378245,129.77637260386572,142.22482314424397
,2018-12-01,-12.448450540378245,125.36397376013308,137.8124243005113
,2019-03-01,-12.177832050370029,123.3218918608262,135.4997239111962
,2019-06-01,-12.313141295374136,127.39482228629632,139.70796358167044
2019-20,2019-09-01,-10.684758566570606,128.23746619804473,138.92222476461532
,2019-12-01,-10.684758566570606,124.64948430470407,135.33424287127468
,2020-03-01,-10.568619886499189,122.73492568746326,133.30354557396245
,2020-06-01,-10.568619886499183,118.59867953666097,129.16729942316016
2020-21,2020-09-01,-16.09646674794447,117.64448361371942,133.7409503616639
,2020-12-01,-16.09646674794447,113.97355065108422,130.0700173990287
,2021-03-01,-15.746543557771764,113.26857384584218,129.01511740361394
,2021-06-01,-15.921505152858115,119.88182710721624,135.80333226007434
2021-22,2021-09-01,-16.09646674794447,117.30953604646616,133.40600279441063
,2021-12-01,-16.096466747944465,114.45756958592224,130.55403633386672
,2022-03-01,-15.746543557771762,113.88313025102502,129.62967380879678
,2022-06-01,-15.921505152858114,117.1079893466441,133.02949449950222
2022-23,2022-09-01,-16.09646674794447,119.57185249397487,135.66831924191933
,2022-12-01,-16.096466747944465,114.07987715625138,130.17634390419585
,2023-03-01,-15.746543557771762,115.111925821221,130.85846937899277
,2023-06-01,-15.921505152858114,118.13168264770144,134.05318780055956
