Year,Quarter,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF,Total excluding LULUCF
2001-02,2001-09-01,17.4993129227093,147.82298476390548,130.3236718411962
,2001-12-01,17.4993129227093,144.3174784538435,126.81816553113421
,2002-03-01,17.118893076563445,141.69723473512917,124.57834165856573
,2002-06-01,17.309102999636377,145.74812247199466,128.4390194723583
2002-03,2002-09-01,20.516734524001787,151.37862681230823,130.86189228830645
,2002-12-01,20.516734524001787,148.81491039766462,128.29817587366284
,2003-03-01,20.0707185560887,144.54867091402576,124.47795235793706
,2003-06-01,20.29372654004524,147.59080686292663,127.29708032288138
2003-04,2003-09-01,16.64949562928657,150.1719478912276,133.52245226194103
,2003-12-01,16.64949562928657,147.88515175987058,131.235656130584
,2004-03-01,16.468522850707362,147.69207787937913,131.22355502867177
,2004-06-01,16.468522850707362,148.4756488886312,132.00712603792385
2004-05,2004-09-01,22.52898455629457,159.3095311687246,136.78054661243002
,2004-12-01,22.52898455629457,156.25886244375002,133.72987788745544
,2005-03-01,22.03922402246208,152.6240151536864,130.58479113122434
,2005-06-01,22.284104289378327,156.02402080222552,133.7399165128472
2005-06,2005-09-01,21.72170301279968,157.950776540317,136.22907352751733
,2005-12-01,21.72170301279968,156.1855318530564,134.46382884025672
,2006-03-01,21.24949207773881,153.57279193667566,132.32329985893685
,2006-06-01,21.485597545269243,157.1586758874097,135.67307834214046
2006-07,2006-09-01,25.09411528953717,163.0030527714341,137.90893748189694
,2006-12-01,25.09411528953717,162.32174015993283,137.22762487039566
,2007-03-01,24.548591044112445,159.15096646214693,134.60237541803448
,2007-06-01,24.82135316682481,160.26521538713973,135.4438622203149
2007-08,2007-09-01,20.7939586125358,161.53310303740852,140.73914442487273
,2007-12-01,20.7939586125358,156.64734506108414,135.85338644854835
,2008-03-01,20.5679373232691,155.54980005123934,134.98186272797025
,2008-06-01,20.5679373232691,156.75747305546685,136.18953573219775
2008-09,2008-09-01,20.16318265643156,163.30662118653282,143.14343853010126
,2008-12-01,20.16318265643156,159.523928769282,139.36074611285045
,2009-03-01,19.72485259868305,152.43017700499712,132.70532440631408
,2009-06-01,19.944017627557308,155.41115305249218,135.46713542493487
2009-10,2009-09-01,16.71643314281302,154.18126169253452,137.4648285497215
,2009-12-01,16.71643314281302,154.2826054846829,137.56617234186987
,2010-03-01,16.353032422317085,152.13912720134644,135.78609477902936
,2010-06-01,16.534732782565055,151.29059123486928,134.75585845230424
2010-11,2010-09-01,9.356967066106202,150.50620148487727,141.14923441877107
,2010-12-01,9.356967066106202,144.86453211242878,135.50756504632258
,2011-03-01,9.153554738582152,142.77203271322767,133.61847797464551
,2011-06-01,9.255260902344178,146.2462904789547,136.99102957661052
2011-12,2011-09-01,5.619849277685782,146.45069370068956,140.83084442300378
,2011-12-01,5.619849277685782,141.60794264004508,135.9880933623593
,2012-03-01,5.558763959450067,140.76060592977743,135.20184197032737
,2012-06-01,5.558763959450067,143.13520282538613,137.57643886593607
2012-13,2012-09-01,4.684262206229254,142.08888838370558,137.40462617747633
,2012-12-01,4.684262206229254,140.4933547581477,135.80909255191844
,2013-03-01,4.582430419137313,137.3753356651423,132.79290524600498
,2013-06-01,4.633346312683283,139.1097089806293,134.47636266794603
2013-14,2013-09-01,3.177333414699393,137.6897178318999,134.5123844172005
,2013-12-01,3.177333414699393,135.9030375124858,132.7257040977864
,2014-03-01,3.108260949162449,136.44467668266074,133.33641573349828
,2014-06-01,3.1427971819309213,137.00475066413966,133.86195348220875
2014-15,2014-09-01,0.5060221019800731,139.24081246058768,138.7347903586076
,2014-12-01,0.5060221019800731,135.04815525720628,134.5421331552262
,2015-03-01,0.4950216215022454,133.61822706818776,133.12320544668552
,2015-06-01,0.5005218617411593,136.93443651834818,136.43391465660702
2015-16,2015-09-01,-5.516855028491017,133.08704053897216,138.60389556746318
,2015-12-01,-5.516855028491017,130.45385849563596,135.97071352412698
,2016-03-01,-5.45688921296394,133.92967549769807,139.38656471066201
,2016-06-01,-5.45688921296394,132.56940613805395,138.0262953510179
2016-17,2016-09-01,-8.154413601955431,135.07905448371525,143.2334680856707
,2016-12-01,-8.154413601955431,129.64901445612054,137.80342805807598
,2017-03-01,-7.977143741043356,129.65979643062883,137.6369401716722
,2017-06-01,-8.065778671499395,132.3034672210314,140.3692458925308
2017-18,2017-09-01,-5.351673657477576,137.43701080762406,142.78868446510165
,2017-12-01,-5.351673657477576,133.53474951458276,138.88642317206035
,2018-03-01,-5.23533292579328,132.14087941025923,137.3762123360525
,2018-06-01,-5.293503291635428,135.1015436581278,140.39504694976324
2018-19,2018-09-01,-6.317381012466333,134.92470848308258,141.24208949554892
,2018-12-01,-6.317381012466333,131.0809217493014,137.39830276176775
,2019-03-01,-6.180046642630108,129.25041409161432,135.43046073424443
,2019-06-01,-6.2487138275482215,133.84543125117264,140.09414507872086
2019-20,2019-09-01,-6.179136827689905,133.9033120888445,140.08244891653442
,2019-12-01,-6.179136827689905,128.29828069038953,134.47741751807945
,2020-03-01,-6.1119722969541455,125.84423297371964,131.9562052706738
,2020-06-01,-6.1119722969541455,123.503008667027,129.61498096398114
2020-21,2020-09-01,-6.157514270945433,126.53944767976802,132.69696195071344
,2020-12-01,-6.157514270945433,122.60211824332096,128.7596325142664
,2021-03-01,-6.023655265055314,122.35360059151589,128.3772558565712
