Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,126.3,12.3,138.6
,2001-12-01,122.89999999999999,12.3,135.2
,2002-03-01,120.89999999999999,17.3,138.2
,2002-06-01,124.6,17.5,142.1
2002-03,2002-09-01,126.9,17.6,144.5
,2002-12-01,124.5,17.6,142.1
,2003-03-01,120.6,12.5,133.1
,2003-06-01,123.2,12.7,135.9
2003-04,2003-09-01,129.39999999999998,12.8,142.2
,2003-12-01,127.10000000000001,12.8,139.9
,2004-03-01,127.19999999999999,12.5,139.7
,2004-06-01,127.9,12.5,140.4
2004-05,2004-09-01,132.60000000000002,12.7,145.3
,2004-12-01,129.60000000000002,12.7,142.3
,2005-03-01,126.69999999999999,18.0,144.7
,2005-06-01,129.9,18.2,148.1
2005-06,2005-09-01,132.0,18.4,150.4
,2005-12-01,130.29999999999998,18.4,148.7
,2006-03-01,128.39999999999998,19.8,148.2
,2006-06-01,131.7,20.0,151.7
2006-07,2006-09-01,134.10000000000002,20.2,154.3
,2006-12-01,133.4,20.2,153.6
,2007-03-01,131.0,11.2,142.2
,2007-06-01,131.5,11.3,142.8
2007-08,2007-09-01,137.0,11.4,148.4
,2007-12-01,132.4,11.4,143.8
,2008-03-01,131.6,11.3,142.9
,2008-06-01,132.79999999999998,11.3,144.1
2008-09,2008-09-01,139.9,11.5,151.4
,2008-12-01,136.2,11.5,147.7
,2009-03-01,129.6,13.1,142.7
,2009-06-01,132.20000000000002,13.2,145.4
2009-10,2009-09-01,133.9,13.4,147.3
,2009-12-01,134.1,13.4,147.5
,2010-03-01,133.1,5.9,139.0
,2010-06-01,132.9,6.0,138.9
2010-11,2010-09-01,136.6,6.1,142.7
,2010-12-01,132.6,6.1,138.7
,2011-03-01,131.1,2.0,133.1
,2011-06-01,133.7,2.0,135.7
2011-12,2011-09-01,137.6,2.0,139.6
,2011-12-01,134.5,2.0,136.5
,2012-03-01,132.5,4.5,137.0
,2012-06-01,132.8,4.5,137.3
2012-13,2012-09-01,133.8,4.5,138.3
,2012-12-01,132.5,4.5,137.0
,2013-03-01,129.4,2.6,132.0
,2013-06-01,131.20000000000002,2.6,133.8
2013-14,2013-09-01,131.4,2.6,134.0
,2013-12-01,130.9,2.6,133.5
,2014-03-01,130.5,0.7,131.2
,2014-06-01,129.60000000000002,0.7,130.3
2014-15,2014-09-01,134.9,0.7,135.6
,2014-12-01,132.4,0.7,133.1
,2015-03-01,130.20000000000002,1.6,131.8
,2015-06-01,131.5,1.6,133.1
2015-16,2015-09-01,135.1,1.6,136.7
,2015-12-01,132.6,1.6,134.2
