Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,127.93958207721849,16.782987149128108,144.7225692263466
,2001-12-01,124.49233771709422,16.782987149128108,141.27532486622232
,2002-03-01,122.29792498068781,16.41813960240793,138.71606458309574
,2002-06-01,126.07804427188444,16.60056337576802,142.67860764765246
2002-03,2002-09-01,128.69004104073466,20.270895985621536,148.9609370263562
,2002-12-01,126.14612396426983,20.270895985621536,146.41701994989137
,2003-03-01,122.36866371327967,19.8302243337602,142.19888804703987
,2003-06-01,125.09694670050857,20.050560159690868,145.14750686019943
2003-04,2003-09-01,131.61108450824076,16.680782806972868,148.29186731521364
,2003-12-01,129.31791414496337,16.680782806972868,145.99869695193624
,2004-03-01,129.3177284502646,16.49946995037533,145.81719840063994
,2004-06-01,130.06845495108547,16.49946995037533,146.5679249014608
2004-05,2004-09-01,134.62599951753373,22.939162384674248,157.565161902208
,2004-12-01,131.58722466378083,22.939162384674248,154.5263870484551
,2005-03-01,128.452364789925,22.440484941529157,150.89284973145416
,2005-06-01,131.54138386409676,22.689823663101706,154.23120752719845
2005-06,2005-09-01,134.23878879001495,21.18860901325688,155.42739780327182
,2005-12-01,132.48693846137218,21.18860901325688,153.67554747462907
,2006-03-01,130.3747324407483,20.727987078186075,151.10271951893435
,2006-06-01,133.68752827865447,20.958298045721477,154.64582632437595
2006-07,2006-09-01,135.80670139953403,24.629458326362528,160.43615972589657
,2006-12-01,135.167047973977,24.629458326362528,159.79650630033953
,2007-03-01,132.58070680738047,24.09403531926769,156.67474212664814
,2007-06-01,133.33414587178464,24.361746822815107,157.69589269459976
2007-08,2007-09-01,138.8997310835929,20.784948529380923,159.68467961297384
,2007-12-01,134.1576896632009,20.784948529380923,154.94263819258182
,2008-03-01,133.2158763403738,20.55902517580069,153.77490151617448
,2008-06-01,134.3957033265617,20.55902517580069,154.95472850236237
2008-09,2008-09-01,141.53440624786262,18.124266451743445,159.65867269960606
,2008-12-01,137.738769567787,18.124266451743445,155.86303601953043
,2009-03-01,131.16900619236026,17.73026065931424,148.8992668516745
,2009-06-01,133.84327992342665,17.927263555528842,151.7705434789555
2009-10,2009-09-01,136.14702979687905,13.3503704526576,149.49740024953667
,2009-12-01,136.34172859916674,13.3503704526576,149.69209905182436
,2010-03-01,134.59763853218007,13.060145008034608,147.65778354021467
,2010-06-01,133.48501286622923,13.205257730346103,146.69027059657532
2010-11,2010-09-01,138.94122687749274,7.691956565226585,146.63318344271931
,2010-12-01,134.94473561360186,7.691956565226585,142.63669217882844
,2011-03-01,132.94564013937546,7.524740118156441,140.4703802575319
,2011-06-01,135.68031525554724,7.608348341691514,143.28866359723875
2011-12,2011-09-01,138.93737710197405,2.66463040532371,141.60200750729777
,2011-12-01,135.79074340599612,2.66463040532371,138.45537381131984
,2012-03-01,134.68091550460701,2.6356670313528,137.3165825359598
,2012-06-01,135.32372016626718,2.6356670313528,137.95938719761998
2012-13,2012-09-01,135.7587312474437,1.4168472739751414,137.17557852141886
,2012-12-01,134.6920905561182,1.4168472739751414,136.10893783009334
,2013-03-01,131.38637047861576,1.3860462462800296,132.77241672489578
,2013-06-01,133.16962153758695,1.4014467601275855,134.57106829771453
2013-14,2013-09-01,133.4906575407131,2.3512950831888286,135.84195262390193
,2013-12-01,132.69103732140422,2.3512950831888286,135.04233240459305
,2014-03-01,132.402144601546,2.300179972684724,134.70232457423074
,2014-06-01,131.8271783157062,2.325737527936776,134.15291584364297
2014-15,2014-09-01,137.09483921010482,0.0510062540692191,137.14584546417404
,2014-12-01,134.61402957013766,0.0510062540692191,134.66503582420688
,2015-03-01,132.5381867184546,0.0498974224590187,132.58808414091362
,2015-06-01,134.37172071000012,0.0504518382641189,134.42217254826423
2015-16,2015-09-01,138.76783169784554,-5.709577911954847,133.05825378589068
,2015-12-01,137.20491919883636,-5.709577911954847,131.4953412868815
,2016-03-01,137.16496812191812,-5.647517282477077,131.51745083944104
,2016-06-01,135.72482753799483,-5.647517282477077,130.07731025551774
2016-17,2016-09-01,140.94651591686633,-6.837174306005176,134.10934161086115
,2016-12-01,138.46151253312942,-6.837174306005176,131.62433822712424
,2017-03-01,138.22861334958324,-6.688540081961584,131.54007326762166
,2017-06-01,138.97562333266865,-6.76285719398338,132.21276613868525
2017-18,2017-09-01,140.1509111889192,-5.192537270137944,134.95837391878126
,2017-12-01,139.0701739566531,-5.192537270137944,133.87763668651516
,2018-03-01,138.41488938475365,-5.079656025134945,133.3352333596187
,2018-06-01,140.41121631799774,-5.136096647636443,135.2751196703613
2018-19,2018-09-01,139.53293860249627,-4.882152478056091,134.65078612444017
,2018-12-01,139.1136706938144,-4.882152478056091,134.2315182157583
,2019-03-01,137.7088857065173,-4.776018728533132,132.93286697798416
,2019-06-01,138.92430027246658,-4.829085603294612,134.09521466917198
2019-20,2019-09-01,138.02547618931806,-4.454273485166462,133.5712027041516
,2019-12-01,136.31252100656192,-4.454273485166462,131.85824752139547
