Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,127.68853765250054,16.782987149128108,144.47152480162865
,2001-12-01,124.2337649065322,16.782987149128108,141.0167520556603
,2002-03-01,122.08300909904602,16.41813960240793,138.50114870145396
,2002-06-01,125.83315749869877,16.60056337576802,142.4337208744668
2002-03,2002-09-01,128.33346754675787,20.270895985621536,148.6043635323794
,2002-12-01,125.82220773280014,20.270895985621536,146.09310371842167
,2003-03-01,122.08376845786877,19.8302243337602,141.91399279162897
,2003-06-01,124.79299455396011,20.050560159690868,144.84355471365097
2003-04,2003-09-01,131.0324078056297,16.680782806972868,147.71319061260257
,2003-12-01,128.8036788018111,16.680782806972868,145.48446160878396
,2004-03-01,128.85598074710333,16.49946995037533,145.35545069747866
,2004-06-01,129.54228823041296,16.49946995037533,146.0417581807883
2004-05,2004-09-01,134.14247625300618,22.939162384674248,157.08163863768044
,2004-12-01,131.13557402256407,22.939162384674248,154.07473640723833
,2005-03-01,128.08205744447204,22.440484941529157,150.5225423860012
,2005-06-01,131.12071009779714,22.689823663101706,153.81053376089886
2005-06,2005-09-01,133.6576349233241,21.18860901325688,154.846243936581
,2005-12-01,131.94142741034557,21.18860901325688,153.13003642360243
,2006-03-01,129.8912638193272,20.727987078186075,150.61925089751327
,2006-06-01,133.1190140393539,20.958298045721477,154.0773120850754
2006-07,2006-09-01,135.3628108899227,24.629458326362528,159.99226921628525
,2006-12-01,134.74906024321677,24.629458326362528,159.3785185695793
,2007-03-01,132.1982953277423,24.09403531926769,156.29233064700998
,2007-06-01,132.90226287261487,24.361746822815107,157.26400969543
2007-08,2007-09-01,138.448536060722,20.784948529380923,159.23348459010293
,2007-12-01,133.74761245900373,20.784948529380923,154.53256098838466
,2008-03-01,132.86260523356432,20.55902517580069,153.421630409365
,2008-06-01,134.00272718709545,20.55902517580069,154.56175236289613
2008-09,2008-09-01,141.0221914966614,18.124266451743445,159.14645794840484
,2008-12-01,137.23501270691418,18.124266451743445,155.3592791586576
,2009-03-01,130.71756469746404,17.73026065931424,148.44782535677828
,2009-06-01,133.32761301623313,17.927263555528842,151.25487657176197
2009-10,2009-09-01,135.38790947257212,13.3503704526576,148.73827992522973
,2009-12-01,135.58517555738632,13.3503704526576,148.93554601004394
,2010-03-01,133.89642118645932,13.060145008034608,146.95656619449392
,2010-06-01,133.50479171018935,13.205257730346103,146.71004944053544
2010-11,2010-09-01,137.93305122998652,7.691956565226585,145.6250077952131
,2010-12-01,134.16694737179233,7.691956565226585,141.8589039370189
,2011-03-01,132.35170727903903,7.524740118156441,139.87644739719548
,2011-06-01,135.4119602744096,7.608348341691514,143.02030861610112
2011-12,2011-09-01,138.0963383925182,2.66463040532371,140.7609687978419
,2011-12-01,135.29375100371672,2.66463040532371,137.95838140904044
,2012-03-01,134.25732992703723,2.6356670313528,136.89299695839003
,2012-06-01,134.94104132958327,2.6356670313528,137.57670836093607
2012-13,2012-09-01,135.20865816564017,1.4168472739751414,136.62550543961532
,2012-12-01,134.37898950802946,1.4168472739751414,135.7958367820046
,2013-03-01,131.1100394960755,1.3860462462800296,132.49608574235552
,2013-06-01,132.83926720515228,1.4014467601275855,134.24071396527987
2013-14,2013-09-01,132.9440555748115,2.3512950831888286,135.29535065800033
,2013-12-01,132.28965027119165,2.3512950831888286,134.64094535438048
,2014-03-01,132.0578253710735,2.300179972684724,134.35800534375824
,2014-06-01,131.5188088591129,2.325737527936776,133.8445463870497
2014-15,2014-09-01,136.34994391291838,0.0510062540692191,136.4009501669876
,2014-12-01,134.19961716542673,0.0510062540692191,134.25062341949595
,2015-03-01,132.15603031629394,0.0498974224590187,132.20592773875296
,2015-06-01,133.89970340568615,0.0504518382641189,133.95015524395026
2015-16,2015-09-01,138.11889441624288,-5.709577911954847,132.40931650428803
,2015-12-01,136.37695327570947,-5.709577911954847,130.66737536375462
,2016-03-01,136.4988166764231,-5.647517282477077,130.85129939394602
,2016-06-01,135.17282423697125,-5.647517282477077,129.52530695449417
2016-17,2016-09-01,140.0332725093627,-6.837174306005176,133.1960982033575
,2016-12-01,137.86250865743946,-6.837174306005176,131.02533435143428
,2017-03-01,137.0238062650457,-6.688540081961584,130.33526618308412
,2017-06-01,138.05996099712436,-6.76285719398338,131.29710380314097
2017-18,2017-09-01,139.22144477188826,-5.192537270137944,134.02890750175033
,2017-12-01,138.19940050310717,-5.192537270137944,133.00686323296924
,2018-03-01,137.02330572446513,-5.079656025134945,131.9436496993302
,2018-06-01,138.83701071754084,-5.136096647636443,133.7009140699044
2018-19,2018-09-01,137.21557441192928,-4.882152478056091,132.33342193387318
,2018-12-01,137.7800346827754,-4.882152478056091,132.8978822047193
,2019-03-01,136.51612898438628,-4.776018728533132,131.74011025585315
,2019-06-01,137.39500141742357,-4.829085603294612,132.56591581412897
2019-20,2019-09-01,135.82813998425527,-4.442103339032128,131.38603664522316
,2019-12-01,134.82003776864454,-4.442103339032128,130.37793442961242
,2020-03-01,133.34881012029126,-4.393819607086127,128.95499051320513
,2020-06-01,127.12460119755613,-4.393819607086127,122.73078159047
