Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,126.19999999999999,19.5,145.7
,2001-12-01,123.30000000000001,19.5,142.8
,2002-03-01,121.6,19.1,140.7
,2002-06-01,125.10000000000001,19.3,144.4
2002-03,2002-09-01,126.9,17.0,143.9
,2002-12-01,125.19999999999999,17.0,142.2
,2003-03-01,121.5,16.6,138.1
,2003-06-01,123.89999999999999,16.8,140.7
2003-04,2003-09-01,129.7,16.3,146.0
,2003-12-01,128.0,16.3,144.3
,2004-03-01,128.4,16.1,144.5
,2004-06-01,128.6,16.1,144.7
2004-05,2004-09-01,133.0,21.1,154.1
,2004-12-01,130.20000000000002,21.1,151.3
,2005-03-01,127.70000000000002,20.6,148.3
,2005-06-01,130.4,20.9,151.3
2005-06,2005-09-01,132.5,21.8,154.3
,2005-12-01,131.1,21.8,152.9
,2006-03-01,129.5,21.3,150.8
,2006-06-01,132.0,21.5,153.5
2006-07,2006-09-01,134.6,18.4,153.0
,2006-12-01,134.1,18.4,152.5
,2007-03-01,131.9,18.0,149.9
,2007-06-01,132.0,18.2,150.2
2007-08,2007-09-01,137.29999999999998,13.8,151.1
,2007-12-01,133.0,13.8,146.8
,2008-03-01,132.5,13.7,146.2
,2008-06-01,133.4,13.7,147.1
2008-09,2008-09-01,140.9,13.1,154.0
,2008-12-01,136.9,13.1,150.0
,2009-03-01,130.39999999999998,12.8,143.2
,2009-06-01,132.2,13.0,145.2
2009-10,2009-09-01,135.10000000000002,6.7,141.8
,2009-12-01,135.20000000000002,6.7,141.9
,2010-03-01,133.4,6.6,140.0
,2010-06-01,133.4,6.6,140.0
2010-11,2010-09-01,137.8,4.5,142.3
,2010-12-01,133.6,4.5,138.1
,2011-03-01,132.2,4.4,136.6
,2011-06-01,134.79999999999998,4.4,139.2
2011-12,2011-09-01,138.6,1.6,140.2
,2011-12-01,135.4,1.6,137.0
,2012-03-01,133.4,1.6,135.0
,2012-06-01,133.8,1.6,135.4
2012-13,2012-09-01,134.8,-0.5,134.3
,2012-12-01,133.6,-0.5,133.1
,2013-03-01,130.6,-0.5,130.1
,2013-06-01,132.4,-0.5,131.9
2013-14,2013-09-01,132.4,1.2,133.6
,2013-12-01,131.60000000000002,1.2,132.8
,2014-03-01,131.3,1.2,132.5
,2014-06-01,130.60000000000002,1.2,131.8
2014-15,2014-09-01,135.70000000000002,1.2,136.9
,2014-12-01,133.4,1.2,134.6
,2015-03-01,131.20000000000002,1.1,132.3
,2015-06-01,133.0,1.1,134.1
2015-16,2015-09-01,138.60000000000002,-0.8,137.8
,2015-12-01,137.20000000000002,-0.8,136.4
,2016-03-01,136.29999999999998,-0.7,135.6
,2016-06-01,135.1,-0.7,134.4
2016-17,2016-09-01,139.8,0.2,140.0
,2016-12-01,136.9,0.2,137.1
,2017-03-01,138.5,0.2,138.7
