Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,127.93958453050979,16.782987149128108,144.7225716796379
,2001-12-01,124.49249250303808,16.782987149128108,141.27547965216618
,2002-03-01,122.29792088451481,16.41813960240793,138.71606048692274
,2002-06-01,126.07789112882224,16.60056337576802,142.67845450459026
2002-03,2002-09-01,128.68998297837007,20.270895985621536,148.9608789639916
,2002-12-01,126.1461721195453,20.270895985621536,146.41706810516683
,2003-03-01,122.36835044505058,19.8302243337602,142.19857477881078
,2003-06-01,125.09726987582678,20.050560159690868,145.14783003551764
2003-04,2003-09-01,131.6111277218236,16.680782806972868,148.29191052879648
,2003-12-01,129.31784087015666,16.680782806972868,145.99862367712953
,2004-03-01,129.3177058007476,16.49946995037533,145.81717575112293
,2004-06-01,130.06850766182635,16.49946995037533,146.56797761220167
2004-05,2004-09-01,134.6257505107394,22.939162384674248,157.56491289541367
,2004-12-01,131.5872100567894,22.939162384674248,154.52637244146365
,2005-03-01,128.45249784235529,22.440484941529157,150.89298278388443
,2005-06-01,131.54151442545236,22.689823663101706,154.23133808855405
2005-06,2005-09-01,134.2385492610481,21.18860901325688,155.42715827430496
,2005-12-01,132.4870399354553,21.18860901325688,153.67564894871217
,2006-03-01,130.37485810415785,20.727987078186075,151.1028451823439
,2006-06-01,133.68754067012875,20.958298045721477,154.64583871585023
2006-07,2006-09-01,135.80695956417793,24.629458326362528,160.43641789054047
,2006-12-01,135.16700701472777,24.629458326362528,159.7964653410903
,2007-03-01,132.58064633495894,24.09403531926769,156.67468165422662
,2007-06-01,133.3339891388115,24.361746822815107,157.6957359616266
2007-08,2007-09-01,138.8997065550682,20.784948529380923,159.68465508444913
,2007-12-01,134.15772120087541,20.784948529380923,154.94266973025634
,2008-03-01,133.21587844386767,20.55902517580069,153.77490361966835
,2008-06-01,134.39569421391803,20.55902517580069,154.95471938971872
2008-09,2008-09-01,141.5339610627436,18.124266451743445,159.65822751448704
,2008-12-01,137.73886385262608,18.124266451743445,155.86313030436952
,2009-03-01,131.16937330940874,17.73026065931424,148.89963396872298
,2009-06-01,133.84326370665812,17.927263555528842,151.77052726218696
2009-10,2009-09-01,136.14708017385283,13.3503704526576,149.49745062651044
,2009-12-01,136.3417869960599,13.3503704526576,149.69215744871752
,2010-03-01,134.59748372343518,13.060145008034608,147.65762873146977
,2010-06-01,133.4850589011073,13.205257730346103,146.69031663145338
2010-11,2010-09-01,138.81237358256797,7.691956565226585,146.50433014779455
,2010-12-01,134.80427921764772,7.691956565226585,142.4962357828743
,2011-03-01,132.86630507351126,7.524740118156441,140.3910451916677
,2011-06-01,136.02896001229038,7.608348341691514,143.6373083539819
2011-12,2011-09-01,138.93450948969638,2.66463040532371,141.5991398950201
,2011-12-01,135.78132781923418,2.66463040532371,138.4459582245579
,2012-03-01,134.68120670587135,2.6356670313528,137.31687373722414
,2012-06-01,135.3357121640425,2.6356670313528,137.9713791953953
2012-13,2012-09-01,135.7468579730002,1.4168472739751414,137.16370524697535
,2012-12-01,134.7142636493541,1.4168472739751414,136.13111092332926
,2013-03-01,131.4025096734813,1.3860462462800296,132.7885559197613
,2013-06-01,133.14318252392897,1.4014467601275855,134.54462928405655
2013-14,2013-09-01,133.49556010786068,2.3512950831888286,135.8468551910495
,2013-12-01,132.64080875990342,2.3512950831888286,134.99210384309225
,2014-03-01,132.37169502512342,2.300179972684724,134.67187499780815
,2014-06-01,131.90295388648198,2.325737527936776,134.22869141441876
2014-15,2014-09-01,137.04304689937467,0.0510062540692191,137.0940531534439
,2014-12-01,134.63151065144817,0.0510062540692191,134.6825169055174
,2015-03-01,132.55672950147058,0.0498974224590187,132.6066269239296
,2015-06-01,134.3874891564037,0.0504518382641189,134.4379409946678
2015-16,2015-09-01,138.69179257367045,-5.709577911954847,132.9822146617156
,2015-12-01,137.0907845606486,-5.709577911954847,131.38120664869373
,2016-03-01,137.24189583603737,-5.647517282477077,131.5943785535603
,2016-06-01,135.83807358623838,-5.647517282477077,130.1905563037613
2016-17,2016-09-01,141.00246041112166,-6.837174306005176,134.16528610511648
,2016-12-01,138.48535193589476,-6.837174306005176,131.64817762988957
,2017-03-01,138.22857878971905,-6.688540081961584,131.54003870775747
,2017-06-01,138.89587399551212,-6.76285719398338,132.13301680152873
2017-18,2017-09-01,140.39668808183836,-5.192537270137944,135.20415081170043
,2017-12-01,139.26825971955913,-5.192537270137944,134.0757224494212
,2018-03-01,138.22663113873784,-5.079656025134945,133.1469751136029
,2018-06-01,140.15561190818835,-5.136096647636443,135.0195152605519
2018-19,2018-09-01,139.36950694897627,-4.882152478056091,134.48735447092017
,2018-12-01,139.02681770589732,-4.882152478056091,134.14466522784122
,2019-03-01,137.5189668920031,-4.776018728533132,132.74294816346998
,2019-06-01,138.76036283512204,-4.829085603294612,133.93127723182744
2019-20,2019-09-01,137.82857238767593,-4.442103339032128,133.38646904864382
,2019-12-01,135.58980970816478,-4.442103339032128,131.14770636913266
,2020-03-01,134.67053478398296,-4.393819607086127,130.27671517689683
