Year,Quarter,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF,Total excluding LULUCF
2001-02,2001-09-01,18.671502584098235,149.64111888816257,130.96961630406435
,2001-12-01,18.671502584098235,146.01005466499043,127.3385520808922
,2002-03-01,18.26560035400914,143.31989744388946,125.05429708988032
,2002-06-01,18.468551469053686,147.33012414782834,128.86157267877465
2002-03,2002-09-01,21.871410237270837,152.77280288222272,130.9013926449519
,2002-12-01,21.871410237270837,150.39945772528438,128.52804748801356
,2003-03-01,21.39594479733016,145.98666264650058,124.59071784917042
,2003-06-01,21.633677517300494,149.2154772493824,127.58179973208189
2003-04,2003-09-01,15.858961796460234,149.63880953956914,133.77984774310892
,2003-12-01,15.858961796460234,147.32483767975012,131.4658758832899
,2004-03-01,15.68658177693349,147.09208504387055,131.40550326693707
,2004-06-01,15.68658177693349,147.8609115054683,132.17432972853481
2004-05,2004-09-01,21.537353932002457,158.74693090259518,137.20957697059274
,2004-12-01,21.537353932002457,153.5543701399536,132.01701620795114
,2005-03-01,21.069150585654576,152.50010876592637,131.4309581802718
,2005-06-01,21.30325225882852,156.2340279430804,134.9307756842519
2005-06,2005-09-01,23.83590303174901,161.91120223824873,138.07529920649972
,2005-12-01,23.83590303174901,157.22750968890762,133.3916066571586
,2006-03-01,23.317731226710983,155.66743512331985,132.34970389660887
,2006-06-01,23.57681712923,159.77661985172597,136.19980272249597
2006-07,2006-09-01,25.079660679633665,164.73684087448467,139.657180194851
,2006-12-01,25.079660679633665,159.92086641663013,134.84120573699647
,2007-03-01,24.53445066485902,158.89977754758456,134.36532688272555
,2007-06-01,24.807055672246342,162.68137220776435,137.874316535518
2007-08,2007-09-01,21.524400680816655,162.725595275114,141.20119459429733
,2007-12-01,21.524400680816655,155.765314916219,134.24091423540236
,2008-03-01,21.29043980385126,156.71932209644405,135.4288822925928
,2008-06-01,21.29043980385126,159.54598897471067,138.2555491708594
2008-09,2008-09-01,21.369269392882018,164.43204666135665,143.06277726847463
,2008-12-01,21.369269392882018,158.03221775746624,136.66294836458422
,2009-03-01,20.904720058254146,155.15793551699872,134.25321545874456
,2009-06-01,21.136994725568083,159.2831365492229,138.1461418236548
