Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,130.9,18.099999999999998,149.0
,2001-12-01,127.6,18.099999999999998,145.7
,2002-03-01,125.29999999999998,18.400000000000002,143.7
,2002-06-01,129.10000000000002,18.7,147.8
2002-03,2002-09-01,131.5,18.8,150.3
,2002-12-01,129.0,18.8,147.8
,2003-03-01,124.99999999999999,12.700000000000001,137.7
,2003-06-01,127.79999999999998,12.9,140.7
2003-04,2003-09-01,133.5,12.999999999999998,146.5
,2003-12-01,131.1,12.999999999999998,144.1
,2004-03-01,131.0,15.600000000000001,146.6
,2004-06-01,131.8,15.600000000000001,147.4
2004-05,2004-09-01,136.0,15.899999999999999,151.9
,2004-12-01,133.0,15.899999999999999,148.9
,2005-03-01,130.0,19.3,149.3
,2005-06-01,133.1,19.599999999999998,152.7
2005-06,2005-09-01,136.0,19.700000000000003,155.7
,2005-12-01,134.5,19.700000000000003,154.2
,2006-03-01,132.4,18.9,151.3
,2006-06-01,135.70000000000002,19.1,154.8
2006-07,2006-09-01,138.39999999999998,19.3,157.7
,2006-12-01,137.79999999999998,19.3,157.1
,2007-03-01,135.1,15.3,150.4
,2007-06-01,135.9,15.399999999999999,151.3
2007-08,2007-09-01,141.70000000000002,15.599999999999998,157.3
,2007-12-01,137.1,15.599999999999998,152.7
,2008-03-01,136.1,9.5,145.6
,2008-06-01,137.4,9.5,146.9
2008-09,2008-09-01,144.0,9.600000000000001,153.6
,2008-12-01,140.4,9.600000000000001,150.0
,2009-03-01,133.5,7.3,140.8
,2009-06-01,136.29999999999998,7.3999999999999995,143.7
2009-10,2009-09-01,137.4,7.500000000000001,144.9
,2009-12-01,137.7,7.500000000000001,145.2
,2010-03-01,136.5,7.6000000000000005,144.1
,2010-06-01,136.5,7.7,144.2
2010-11,2010-09-01,141.60000000000002,7.7,149.3
,2010-12-01,137.3,7.7,145.0
,2011-03-01,135.7,3.0,138.7
,2011-06-01,138.3,3.0,141.3
2011-12,2011-09-01,141.73236730562348,3.0999999999999996,144.83236730562348
,2011-12-01,138.89950981257604,3.0999999999999996,141.99950981257604
,2012-03-01,136.76814097675805,2.799999999999999,139.56814097675806
,2012-06-01,137.1936638282104,2.799999999999999,139.9936638282104
2012-13,2012-09-01,139.60020683807164,2.8000000000000007,142.40020683807165
,2012-12-01,138.29055291484838,2.8000000000000007,141.0905529148484
,2013-03-01,135.24348931912886,4.8999999999999995,140.14348931912886
,2013-06-01,136.98299836875856,4.999999999999999,141.98299836875856
2013-14,2013-09-01,136.5896738924536,5.000000000000001,141.5896738924536
,2013-12-01,135.84397836389235,5.000000000000001,140.84397836389235
,2014-03-01,135.5664706606498,5.4,140.9664706606498
,2014-06-01,134.70869328432684,5.3999999999999995,140.10869328432685
