Quarter,Total excluding LULUCF
2002-09-01,132.4
2002-12-01,129.8
2003-03-01,125.8
2003-06-01,128.5
2003-09-01,132.9
2003-12-01,130.5
2004-03-01,130.4
2004-06-01,131.2
2004-09-01,134.8
2004-12-01,132.0
2005-03-01,128.8
2005-06-01,132.2
2005-09-01,134.8
2005-12-01,133.3
2006-03-01,131.1
2006-06-01,134.2
2006-09-01,137.3
2006-12-01,136.8
2007-03-01,134.0
2007-06-01,134.6
2007-09-01,141.0
2007-12-01,136.8
2008-03-01,135.5
2008-06-01,136.9
2008-09-01,142.5
2008-12-01,138.9
2009-03-01,132.2
2009-06-01,135.0
2009-09-01,136.9
2009-12-01,137.2
2010-03-01,136.2
2010-06-01,135.9
2010-09-01,140.4
2010-12-01,136.3
2011-03-01,134.9
2011-06-01,137.4
2011-09-01,140.4
2011-12-01,136.9
2012-03-01,134.7
2012-06-01,136.1
2012-09-01,138.5
